-----
{
 "description": "This data provides components-wise data on achievements of National Highways Development Projects (NHDP) from 2007-08 to 2011-12. It gives details of NHDP component-wise total length, completed 4/6 lane, under implementation length & number of contracts and balance for award of civil work.", 
 "file_name": "ACHIEVEMENTS_OF_NATIONAL_HIGHWAYS_DEVELOPMENT_PROJECTS_1.xls", 
 "title": "Download XLS for Achievements of National Highways Development Projects From 2007-08 To 2011-12", 
 "url": "http://data.gov.in/sites/default/files/ACHIEVEMENTS_OF_NATIONAL_HIGHWAYS_DEVELOPMENT_PROJECTS_1.xls"
}
-----
"NHDP components","Total Length (km)","Competed 4/6 Lane (km)","Under implementation - Length  (km)                    ","Under implementation - No. of Contracts   ","Balance for Award of Civil Work (km)"
"GQ",5846.0,5831.0,15.0,8.0,"NA"
"NS-EW",7142.0,5914.0,803.0,76.0,420.0
"Port Connectivity",380.0,341.0,39.0,4.0,"NA"
"Other NHs",1390.0,946.0,424.0,5.0,20.0
"SARDP-NE",388.0,5.0,107.0,2.0,276.0
"NHDP Phase III",12109.0,3024.0,6514.0,90.0,2572.0
"NHDP Phase IV",20000.0,"NA",2549.0,18.0,17451.0
"NHDP Phase V",6500.0,709.0,2768.0,22.0,3023.0
"NHDP Phase VI",1000.0,"NA","NA","NA",1000.0
"NHDP Phase VII",700.0,7.0,41.0,2.0,659.0
"Total",55455.0,16777.0,13260.0,227.0,25421.0
