-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AndamanNSDPconst.csv", 
 "title": "Download CSV for A &amp; N Islands Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AndamanNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","12916","12955","12645","12723","12525","12450","12044","13334","14184","15167"
"Foresty and Logging","3703","3584","3461","2967","1674","1553","969","1773","549","412"
"Fishing","3375","3374","3234","3261","3026","3318","3493","2474","2434","2850"
"Mining and Quarrying","103","107","445","49","31","8","62","137","663","281"
"Sub total of primary","20097","20020","19785","19000","17256","17329","16568","17718","17830","18710"
"Manufacturing","3848","4639","4292","5638","5769","3455","3489","1509","1621","1666"
"Manu-Registered","2457","3215","2631","3893","3810","1516","1528","458","207","45"
"Manu-Unregistered","1391","1424","1661","1745","1959","1939","1961","1051","1414","1621"
"Construction","5686","8734","8158","8358","10533","9091","12300","13794","16456","14831"
"Electricity, Gas and water Supply","-557","-886","-774","265","-302","-2347","-3024","-3448","-4509","-4233"
"Sub total of secondary","8977","12487","11676","14261","16000","10199","12765","11855","13568","12264"
"Transport Storage and Communication","2513","3399","2298","2070","2452","1036","1835","-2302","-2377","265"
"Railways","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","2256","3108","1977","1715","2040","622","1348","-2853","-3024","-946"
"Storage","0","0","0","0","0","0","0","0","0","0"
"Communication","257","291","321","355","412","414","487","551","647","1211"
"Trade, hotels and restaurants","4866","5327","5938","6414","7032","7299","7932","6871","7698","6848"
"Banking and Insurance","713","733","904","1798","1369","1593","1593","1188","1211","1415"
"Real estate, ownership of dwelling and business","1625","1686","1743","1798","1845","1896","1972","2215","2288","2379"
"Pubic Administration","4342","4065","4294","4560","6165","7858","8836","9699","8241","7639"
"Other Services","3683","3962","4107","4562","6028","6240","6743","8459","7985","8761"
"Sub total of tertiary","17742","19172","19284","21202","24891","25922","28911","26130","25046","27307"
"State domestic product","46816","51679","50745","54463","58147","53450","58244","55703","56444","58281"

"Figures are in Rs. Lakh"
