-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AndhraNSDPconst_1.csv", 
 "title": "Download CSV for Andhra Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/AndhraNSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","4361234","4621033","4666533","5584765","5629933","5620115","5986703","5883953"
"Foresty and Logging","364727","378816","385390","393804","403507","400629","418782","424169"
"Fishing","557286","580069","608972","705542","726464","711992","813049","954760"
"Ag and Allied","5283247","5579918","5660895","6684111","6759904","6732736","7218534","7262882"
"Mining and Quarrying","522904","564676","836456","869296","701103","703412","770710","838077"
"Sub total of primary","5806151","6144594","6497351","7553407","7461007","7436148","7989244","8100959"
"Manufacturing","2068502","2182243","2549757","2633976","3006167","3030931","3172241","3486583"
"Registered","1376886","1434828","1754910","1789716","2157552","2163714","2277518","2482544"
"Unregistered","691616","747415","794847","844260","848615","867217","894723","1004039"
"Construction","1460172","1767629","1946935","2199983","2446118","2486051","2661856","2797404"
"Electricity, Gas and water Supply","259246","255590","230151","272742","334212","347793","425550","445301"
"Sub total of secondary","3787920","4205462","4726843","5106701","5786497","5864775","6259647","6729288"
"Industry","4310824","4770138","5563299","5975997","6487600","6568187","7030357","7567365"
"Transport Storage and Communication","1547522","1728471","1951056","2213865","2444964","3114807","3727463","4391872"
"Railways","195260","207088","225935","244131","263329","269071","294675","316038"
"Transport by other means","988447","1089783","1217870","1344187","1470150","1611371","1803281","2044135"
"Storage","0","0","0","0","0","0","0","0"
"Communication","363815","431600","507251","625547","711485","1234365","1629507","2031699"
"Trade, hotels and restaurants","2976106","3387573","3970274","4316676","4510749","4592074","4831951","5151907"
"Banking and Insurance","986774","1137572","1390844","1714684","2097280","2285423","2685270","3076773"
"Real estate, ownership of dwelling and business","2272193","2517724","2731615","3078321","3360626","3398479","3698405","4033503"
"Pubic Administration","766565","753978","825665","859751","1012285","1055661","1144699","1207853"
"Other Services","1987117","2214746","2365030","2429180","2552411","2619446","2955801","3187989"
"Sub total of tertiary","10536277","11740064","13234484","14612477","15978315","17065890","19043589","21049897"
"State domestic product","20130348","22090120","24458678","27272585","29225819","30366813","33292480","35880144"

"Figures are in Rs. Lakh"
