-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AndhraNSDPcurrent.csv", 
 "title": "Download CSV for Andhra Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AndhraNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1685975","1974257","2283848","2588719","2321314","3151451","3123178","3552988","3555900","3278900","3983100","4243400","4688800"
"Foresty and Logging","65284","78684","97787","109126","124249","145168","155860","160550","156600","165200","171200","180500","189000"
"Fishing","105721","131249","145147","163271","193702","236822","279191","363105","436400","549100","569800","543100","609800"
"Mining and Quarrying","106286","113062","123652","142778","209979","227218","303298","316696","376300","448100","491400","542100","612600"
"Sub total of primary","1963266","2297252","2650434","3003894","2849244","3760659","3861527","4393339","4525200","4441300","5215500","5509100","6100200"
"Manufacturing","640032","807864","973787","1101328","1173993","1293182","1314250","1316738","1466600","1642400","1794000","1981400","2174200"
"Registered","399045","515030","610299","716717","733204","807399","819299","807546","909300","1050700","1157000","1283600","1410400"
"Unregistered","240987","292834","363488","384611","440789","485783","494951","509192","557300","591700","637000","697800","763800"
"Construction","274181","341334","382659","424086","505158","587075","696334","797582","918700","1043900","1185800","1343700","1518700"
"Electricity, Gas and water Supply","56005","99043","92139","107902","121395","169883","193774","204414","138300","264100","266000","293300","314400"
"Sub total of secondary","970218","1248241","1448585","1633316","1800546","2050140","2204358","2318734","2523600","2950400","3245800","3618400","4007300"
"Transport Storage and Communication","267114","303153","370988","423938","499831","557525","650695","723504","817000","943200","1103000","1251300","1412200"
"Railways","57738","64899","87490","99758","118217","100013","125775","138781","151700","168800","163100","183000","206600"
"Transport by other means","158634","180595","215025","238717","275694","317471","367771","411812","484600","566700","675200","752200","832000"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","50742","57659","68473","85463","105920","140041","157149","172911","180700","207700","264700","316100","373600"
"Trade, hotels and restaurants","739074","908085","1048145","1231426","1273312","1544569","1648327","1822809","1954100","2100500","2339200","2548900","2830400"
"Banking and Insurance","197759","239775","327284","349589","397013","441587","495781","578293","730800","866200","956300","1073000","1205900"
"Real estate, ownership of dwelling and business","341793","378420","420060","468754","533095","622957","722010","835655","966100","1101100","1268100","1416100","1593000"
"Pubic Administration","213895","253475","288118","324874","383777","445489","554562","627427","653700","717000","771800","852900","968200"
"Other Services","472392","550504","626028","715881","842317","968525","1159316","1332327","1459100","1606000","1795600","2042600","2314000"
"Sub total of tertiary","2232027","2633412","3080623","3514462","3929345","4580652","5230691","5920015","6580800","7334000","8234000","9184800","10323700"
"State domestic product","5165511","6178905","7179642","8151672","8579135","10391451","11296576","12632088","13629600","14725700","16695300","18312300","20431200"

"Figures are in Rs. Lakh"
