-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AndhraNSDPcurrent_1.csv", 
 "title": "Download CSV for Andhra Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/AndhraNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","4361234","4839966","5209510","6969542","8127248","9197505","11106110","11864742"
"Foresty and Logging","364727","403058","422770","454358","476747","486497","611501","771436"
"Fishing","557286","592743","625223","711470","780150","823485","958193","1128391"
"Ag and Allied","5283247","5835767","6257503","8135370","9384145","10507487","12675804","13764569"
"Mining and Quarrying","522904","623747","982981","1223298","1114030","1198015","1365043","1627254"
"Sub total of primary","5806151","6459514","7240484","9358668","10498175","11705502","14040847","15391823"
"Manufacturing","2068502","2261549","2820700","3120235","3872405","3896494","4343307","5146830"
"Registered","1376886","1497389","1962478","2161783","2843676","2771249","3112919","3659474"
"Unregistered","691616","764160","858222","958452","1028729","1125245","1230388","1487356"
"Construction","1460172","1922895","2397949","3102736","4021779","4397152","5484177","6248449"
"Electricity, Gas and water Supply","259246","268768","261256","321488","478893","610113","825563","916439"
"Sub total of secondary","3787920","4453212","5479905","6544459","8373077","8903759","10653047","12311718"
"Industry","4310824","5076959","6462886","7767757","9487107","10101774","12018090","13938972"
"Transport Storage and Communication","1547522","1731392","1995324","2311650","2744051","3213751","3859618","4639216"
"Railways","195260","198201","242424","277509","296080","352402","358219","388025"
"Transport by other means","988447","1139987","1345702","1571731","1921842","2229836","2731708","3348955"
"Storage","0","0","0","0","0","0","0","0"
"Communication","363815","393204","407198","462410","526129","631513","769691","902236"
"Trade, hotels and restaurants","2976106","3524552","4362520","5171611","5728089","6120823","7008177","8111925"
"Banking and Insurance","986774","1053625","1254253","1529897","1965151","2134292","2700703","3196138"
"Real estate, ownership of dwelling and business","2272193","2621196","3036183","3712660","4429020","5141013","6169711","7264743"
"Pubic Administration","766565","770926","901592","1018365","1306253","1532345","1831569","2097208"
"Other Services","1987117","2322241","2641695","2948148","3356679","4004547","4985468","5741132"
"Sub total of tertiary","10536277","12023932","14191567","16692331","19529243","22146771","26555246","31050362"
"State domestic product","20130348","22936658","26911956","32595458","38400495","42756032","51249140","58753903"

"Figures are in Rs. Lakh"
