-----
{
 "description": "This data provides area-wise details of ongoing societal development projects as on 04th June 2013.", 
 "file_name": "Areawise_Ongoing_Societal_Development_Projects_as_on_04th_June_2013.xls", 
 "title": "Download XLS for Area-wise Ongoing Societal Development Projects As On 04th June 2013", 
 "url": "http://data.gov.in/sites/default/files/Areawise_Ongoing_Societal_Development_Projects_as_on_04th_June_2013.xls"
}
-----
"Area Name","Ongoing Projects"
"BIOTECH BASED PROGRAMMES FOR RURAL DEVELOPMENT",42.0
"BIOTECH BASED PROGRAMMES FOR SC/ST",28.0
"BIOTECH BASED PROGRAMMES FOR WOMEN",33.0
"Total",103.0
