-----
{
 "description": "This data provides area-wise details of societal development proposals not found suitable as on 06th June 2013.", 
 "file_name": "Areawise_Societal_Development_Proposals_Not_Found_Suitable_as_on_06th_June_2013.xls", 
 "title": "Download XLS for Area-wise Societal Development Proposals Not Found Suitable As On 06th June 2013", 
 "url": "http://data.gov.in/sites/default/files/Areawise_Societal_Development_Proposals_Not_Found_Suitable_as_on_06th_June_2013.xls"
}
-----
"Area Name","No. of Projects"
"BIOTECH BASED PROGRAMMES FOR RURAL DEVELOPMENT",57.0
"BIOTECH BASED PROGRAMMES FOR SC/ST",51.0
"BIOTECH BASED PROGRAMMES FOR WOMEN",43.0
"Total",151.0
