-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "ArunachalNSDPconst.csv", 
 "title": "Download CSV for Arunachal Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/ArunachalNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","28057","25558","26020","26294","27570","26824","29830","30883","28650","28893","30267","28980"
"Foresty and Logging","9324","10563","10927","10732","3457","4301","4490","3781","4270","5687","4758","5117"
"Fishing","741","794","817","881","933","1007","1053","1109","1145","1148","1171","1276"
"Mining and Quarrying","1148","628","407","446","387","658","682","1342","1216","1377","1476","1588"
"Sub total of primary","39270","37543","38171","38353","32347","32790","36055","37115","35281","37105","37672","36961"
"Manufacturing","2536","2661","3067","3855","2738","2916","2692","2624","2903","2703","2684","2697"
"Registered","0","0","0","0","0","0","0","0","0","0","0","0"
"Unregistered","2536","2661","3067","3855","2738","2916","2692","2624","2903","2703","2684","2697"
"Construction","16444","14424","23718","15728","15463","15578","14186","16089","19504","21730","25903","26768"
"Electricity, Gas and water Supply","-1644","560","-355","-517","1763","2816","2147","-496","-353","526","524","758"
"Sub total of secondary","17336","17645","26430","19066","19964","21310","19025","18217","22054","24959","29111","30223"
"Transport Storage and Communication","2927","3074","3086","3407","5067","5095","5904","6740","7333","9049","9498","9728"
"Railways","3","1","1","1","0","0","1","0","0","8","9","9"
"Transport by other means","2599","2787","2730","3030","4688","4823","5008","5114","5367","5568","5837","6067"
"Storage","2","2","2","2","3","2","2","2","2","2","2","2"
"Communication","323","284","353","374","376","270","893","1624","1964","3471","3650","3650"
"Trade, hotels and restaurants","5392","4613","4669","4971","5180","3779","4835","4809","4945","4337","4490","4587"
"Banking and Insurance","989","1105","1223","1460","1660","1941","2031","2547","2873","2885","3101","3101"
"Real estate, ownership of dwelling and business","1623","1717","1821","1932","2093","2225","2375","2649","2807","2227","2347","2480"
"Pubic Administration","7814","8090","8417","9218","12233","13104","15126","16524","17445","16842","16985","17827"
"Other Services","5862","5791","7643","7575","9866","10793","9421","10704","10834","11805","12957","13995"
"Sub total of tertiary","24607","24390","26859","28563","36099","36937","39692","43973","46237","47145","49378","51718"
"State domestic product","81213","79578","91460","85982","88410","91037","94772","99305","103572","109209","116161","118902"

"Figures are in Rs. Lakh"
