-----
{
 "description": "This data provides details on the total number of days each member signed the member's attendance register of session 7 of Lok Sabha 15 from 21st February 2011 to 25th March 2011.", 
 "file_name": "Attendance_of_the_Members_of_Lok_Sabha_15_Session_7.xls", 
 "title": "Download XLS for Attendance of the Members of Lok Sabha 15 for Session 7", 
 "url": "http://data.gov.in/sites/default/files/Attendance_of_the_Members_of_Lok_Sabha_15_Session_7.xls"
}
-----
"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
1.0,3.0,"Smt.  Sonia  Gandhi                                            ",15.0,7.0,"Uttar Pradesh                                               ","Rae Barelii",23.0,12.0
2.0,11.0,"Shri  Ajit  Singh                                             ",15.0,7.0,"Uttar Pradesh                                               ","Baghpat",23.0,"M"
3.0,14.0,"Shri  Paban Singh  Ghatowar                                          ",15.0,7.0,"Assam                                                       ","Dibrugarh",23.0,"M"
4.0,24.0,"Shri  V. Kishore Chandra S.  Deo                                               ",15.0,7.0,"Andhra Pradesh                                              ","Araku",23.0,"M"
5.0,29.0,"Shri  Harish  Rawat                                             ",15.0,7.0,"Uttarakhand                                                 ","Hardwar",23.0,"M"
6.0,30.0,"Smt.  Chandresh  Kumari                                            ",15.0,7.0,"Rajasthan                                                   ","Jodhpur",23.0,"M"
7.0,38.0,"Shri  Jitender  Singh                                             ",15.0,7.0,"Haryana                                                     ","Sonipat",23.0,"M"
8.0,39.0,"Shri  Manish  Tewari                                            ",15.0,7.0,"Punjab                                                      ","Ludhiana",23.0,"M"
9.0,53.0,"Shri  Pratik  Patil                                             ",15.0,7.0,"Maharashtra                                                 ","Sangli",23.0,"M"
10.0,55.0,"Dr.  Shashi  Tharoor                                           ",15.0,7.0,"Kerala                                                      ","Thiruvananthapuram",23.0,"M"
11.0,58.0,"Dr.  Charan Das  Mahant                                            ",15.0,7.0,"Chhattisgarh                                                ","Korba",23.0,"M"
12.0,59.0,"Shri  Milind  Deora                                             ",15.0,7.0,"Maharashtra                                                 ","Mumbai-South",23.0,"M"
13.0,60.0,"Shri    Kodikunnil  Suresh                                ",15.0,7.0,"Kerala                                                      ","Mavelikkara",23.0,"M"
14.0,61.0,"Shri  Rahul  Gandhi                                            ",15.0,7.0,"Uttar Pradesh                                               ","Amethi",23.0,7.0
15.0,62.0,"Shri  K. J.S.P.  Reddy                                             ",15.0,7.0,"Andhra Pradesh                                              ","Kurnool",23.0,"M"
16.0,63.0,"Shri  A.H.   Khan  Choudhury                                         ",15.0,7.0,"West Bengal                                                 ","Maldaha Dakshin",23.0,"M"
17.0,64.0,"Shri  Adhir Ranjan  Chowdhury                                         ",15.0,7.0,"West Bengal                                                 ","Baharampur",23.0,"M"
18.0,65.0,"Smt.  Ranee  Narah                                             ",15.0,7.0,"Assam                                                       ","Lakhimpur",23.0,"M"
19.0,66.0,"Shri   Sarvey  Sathyanarayana                                    ",15.0,7.0,"Andhra Pradesh                                              ","Malkajgiri",23.0,"M"
20.0,67.0,"Shri  Ninong  Ering                                             ",15.0,7.0,"Arunachal Pradesh                                           ","Arunachal East",23.0,"M"
