-----
{
 "description": "The table refers to block wise construction of shallow tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.1.csv", 
 "title": "Download CSV for Block wise Construction of Shallow Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.1.csv"
}
-----
State,District,Block,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,2,2,0,0,2,3,1,11,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,13,3,3,5,4,10,15,9,62
ANDHRA PRADESH,ADILABAD,BELA,2,2,0,0,1,4,9,6,24
ANDHRA PRADESH,ADILABAD,BHAINSA,96,75,118,176,183,179,153,101,1081
ANDHRA PRADESH,ADILABAD,BOATH,391,43,45,63,51,33,39,17,682
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,4,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,DAHEGAON,4,2,5,0,1,0,0,0,12
ANDHRA PRADESH,ADILABAD,DILAWARPUR,73,39,59,83,93,163,109,29,648
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,2,0,5,1,3,0,0,0,11
ANDHRA PRADESH,ADILABAD,ICHODA,48,4,7,10,42,16,27,57,211
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,0,0,0,0,14,1,15
ANDHRA PRADESH,ADILABAD,JAINOOR,2,0,0,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,0,0,0,1,1
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,0,0,2,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,KOTAPALLE,6,10,188,0,0,0,0,0,204
ANDHRA PRADESH,ADILABAD,KUBEER,13,16,19,78,105,111,41,45,428
ANDHRA PRADESH,ADILABAD,KUNTALA,122,20,65,63,151,168,86,61,736
ANDHRA PRADESH,ADILABAD,LAHESRA,28,55,91,210,202,178,149,91,1004
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,19,4,0,2,4,7,4,3,43
ANDHRA PRADESH,ADILABAD,MUDHOLE,86,74,83,122,142,202,120,121,950
ANDHRA PRADESH,ADILABAD,NARNOOR,1,0,0,0,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,NENNAL,0,0,0,0,1,0,3,0,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,7,7,4,9,9,26,28,13,103
ANDHRA PRADESH,ADILABAD,NIRMAL,25,30,16,16,17,14,3,5,126
ANDHRA PRADESH,ADILABAD,SARANGAPUR,76,62,50,39,104,108,76,30,545
ANDHRA PRADESH,ADILABAD,SIRPUR (T),12,0,0,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,TALAMADUGU,1,0,0,6,9,6,13,46,81
ANDHRA PRADESH,ADILABAD,TAMSI,1,1,2,2,14,10,13,12,55
ANDHRA PRADESH,ADILABAD,TANUR,18,16,31,35,34,26,20,17,197
ANDHRA PRADESH,ANANTHAPUR,AGALI,9,0,1,1,1,31,117,12,172
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,2,0,0,3,8,37,50
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,5,7,19,53,52,49,34,6,225
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,127,91,23,20,13,6,12,0,292
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,3,5,19,32,40,11,17,3,130
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,70,18,42,37,53,61,25,5,311
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,123,23,50,60,39,29,29,22,375
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,61,43,55,55,75,49,20,9,367
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,32,38,48,49,66,46,28,10,317
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,183,160,179,99,141,152,105,78,1097
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,60,0,1,1,3,4,20,53,142
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,15,9,26,18,24,50,60,37,239
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,80,33,37,84,58,118,119,203,732
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,17,11,13,28,32,53,42,36,232
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,0,1,0,4,2,6,24,37
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,319,29,28,105,36,90,95,56,758
ANDHRA PRADESH,ANANTHAPUR,GOOTY,37,16,15,27,58,50,24,26,253
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,32,8,13,64,41,24,25,207
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,7,3,8,33,40,48,23,14,176
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,36,0,15,44,120,138,102,9,464
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,60,10,2,57,9,59,13,3,213
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,9,8,43,75,178,138,93,14,558
ANDHRA PRADESH,ANANTHAPUR,KADIRI,1,3,7,24,17,45,21,0,118
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,161,8,30,27,21,67,36,71,421
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,76,19,60,40,42,16,25,16,294
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,55,15,22,36,30,27,40,22,247
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,26,30,43,155,354,36,53,94,791
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,18,1,0,4,1,17,32,22,95
