-----
{
 "description": "The table refers to block wise distribution of shallow tubewells by type . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.5.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells by type for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.5.csv"
}
-----
State,District,Block,Shallow tubewell,Filter,Borewell,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,19,2,0,0,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,60,2,0,0,62
ANDHRA PRADESH,ADILABAD,BELA,24,0,0,0,24
ANDHRA PRADESH,ADILABAD,BHAINSA,1080,1,0,0,1081
ANDHRA PRADESH,ADILABAD,BOATH,674,7,1,0,682
ANDHRA PRADESH,ADILABAD,CHENNUR,4,0,0,0,4
ANDHRA PRADESH,ADILABAD,DAHEGAON,12,0,0,0,12
ANDHRA PRADESH,ADILABAD,DILAWARPUR,604,44,0,0,648
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,2,5,4,0,11
ANDHRA PRADESH,ADILABAD,ICHODA,211,0,0,0,211
ANDHRA PRADESH,ADILABAD,JAINAD,12,3,0,0,15
ANDHRA PRADESH,ADILABAD,JAINOOR,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,1,0,0,0,1
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),2,0,0,0,2
ANDHRA PRADESH,ADILABAD,KOTAPALLE,201,0,3,0,204
ANDHRA PRADESH,ADILABAD,KUBEER,428,0,0,0,428
ANDHRA PRADESH,ADILABAD,KUNTALA,435,4,238,59,736
ANDHRA PRADESH,ADILABAD,LAHESRA,1003,0,0,1,1004
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,38,1,4,0,43
ANDHRA PRADESH,ADILABAD,MUDHOLE,949,0,0,1,950
ANDHRA PRADESH,ADILABAD,NARNOOR,1,0,0,0,1
ANDHRA PRADESH,ADILABAD,NENNAL,4,0,0,0,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,103,0,0,0,103
ANDHRA PRADESH,ADILABAD,NIRMAL,100,2,22,2,126
ANDHRA PRADESH,ADILABAD,SARANGAPUR,272,5,268,0,545
ANDHRA PRADESH,ADILABAD,SIRPUR (T),12,0,0,0,12
ANDHRA PRADESH,ADILABAD,TALAMADUGU,62,15,1,3,81
ANDHRA PRADESH,ADILABAD,TAMSI,47,0,1,7,55
ANDHRA PRADESH,ADILABAD,TANUR,197,0,0,0,197
ANDHRA PRADESH,ANANTHAPUR,AGALI,168,1,1,2,172
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,35,7,8,0,50
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,224,0,1,0,225
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,186,1,103,2,292
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,130,0,0,0,130
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,287,20,2,2,311
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,334,15,26,0,375
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,36,24,307,0,367
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,304,0,13,0,317
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,544,140,413,0,1097
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,51,11,80,0,142
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,219,0,20,0,239
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,559,37,135,1,732
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,90,0,142,0,232
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,0,37,0,37
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,419,127,212,0,758
ANDHRA PRADESH,ANANTHAPUR,GOOTY,240,0,12,1,253
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,16,40,150,1,207
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,126,3,47,0,176
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,393,35,36,0,464
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,170,34,8,1,213
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,4,17,535,2,558
ANDHRA PRADESH,ANANTHAPUR,KADIRI,95,7,15,1,118
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,341,2,78,0,421
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,160,16,118,0,294
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,142,23,73,9,247
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,270,125,395,1,791
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,16,0,75,4,95
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,345,0,1,1,347
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,98,0,3,0,101
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,550,0,40,1,591
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,113,2,197,1,313
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,145,6,0,0,151
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,92,0,93,0,185
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,72,0,73,0,145
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,25,1,41,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,213,21,104,36,374
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,43,0,20,0,63
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,521,84,2,0,607
ANDHRA PRADESH,ANANTHAPUR,PARIGI,128,42,388,1,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,1348,53,1,11,1413
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,140,0,137,0,277
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,17,1,216,1,235
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,272,0,314,1,587
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,12,0,108,1,121
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,162,0,25,0,187
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,408,0,98,0,506
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,70,1,440,3,514
ANDHRA PRADESH,ANANTHAPUR,RODDAM,271,118,273,2,664
ANDHRA PRADESH,ANANTHAPUR,ROLLA,41,21,30,0,92
ANDHRA PRADESH,ANANTHAPUR,SETTUR,95,4,0,0,99
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,381,63,99,0,543
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,270,2,69,7,348
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,375,2,1,0,378
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,691,26,57,0,774
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,53,7,20,0,80
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,203,1,12,0,216
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,110,15,6,1,132
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,82,0,1,0,83
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,31,4,6,0,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,392,1,133,0,526
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,57,434,176,2,669
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,260,16,0,0,276
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,63,4,7,0,74
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,58,0,1,0,59
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,411,0,1,1,413
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,53,42,0,0,95
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,147,0,1,0,148
ANDHRA PRADESH,CHITTOOR,CHITTOOR,8,19,0,0,27
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,137,0,19,0,156
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,89,6,0,0,95
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,65,3,9,0,77
ANDHRA PRADESH,CHITTOOR,GUDIPALA,72,0,0,0,72
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,32,0,2,0,34
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,46,0,5,0,51
ANDHRA PRADESH,CHITTOOR,IRALA,76,4,37,0,117
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,76,0,6,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,183,0,7,0,190
ANDHRA PRADESH,CHITTOOR,KALIKIRI,193,0,6,0,199
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,103,1,52,0,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,76,12,20,0,108
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,35,0,0,0,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,71,3,0,0,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,184,0,0,0,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,228,4,68,0,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,106,0,0,0,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,95,23,3,0,121
ANDHRA PRADESH,CHITTOOR,NAGARI,131,66,172,1,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,135,0,0,0,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,143,0,5,0,148
ANDHRA PRADESH,CHITTOOR,NINDRA,36,1,361,0,398
ANDHRA PRADESH,CHITTOOR,PAKALA,25,0,0,0,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,85,19,3,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,58,0,4,0,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,3,17,39,0,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,26,40,106,0,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,222,1,19,0,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,97,0,0,0,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,90,0,0,0,90
ANDHRA PRADESH,CHITTOOR,PILERU,26,0,0,0,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,189,0,15,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,182,8,7,0,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,129,0,0,0,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,180,0,0,0,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,49,0,9,0,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,4,0,0,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,379,10,0,0,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,130,5,13,0,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,36,0,9,0,45
ANDHRA PRADESH,CHITTOOR,SODAM,26,0,1,0,27
ANDHRA PRADESH,CHITTOOR,SOMALA,52,6,1,0,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,237,5,5,9,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,185,5,19,0,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,11,0,0,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,502,41,36,0,579
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),6,46,308,0,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),1,0,22,0,23
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,244,0,47,0,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,359,5,0,0,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,100,1,0,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,63,0,0,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,47,0,37,0,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,32,4,99,0,135
ANDHRA PRADESH,CHITTOOR,YADAMARI,18,0,0,0,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,789,195,1,0,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,20,0,19,0,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,32,3,0,0,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,113,2,9,0,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,43,31,9,0,83
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,33,0,0,0,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,159,211,23,0,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,891,8,0,9,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,6,2,3,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,200,0,23,0,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,21,0,0,1,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,762,0,0,0,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,1,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,135,0,43,0,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,18,0,0,0,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,57,100,0,0,157
