-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.9.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.9.csv"
}
-----
State,District,Block,Electric pumps,Diesel pumps,Wind mills,Solar pumps,Man/Animal operated,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,21,0,0,0,0,0,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,62,0,0,0,0,0,62
ANDHRA PRADESH,ADILABAD,BELA,24,0,0,0,0,0,24
ANDHRA PRADESH,ADILABAD,BHAINSA,1081,0,0,0,0,0,1081
ANDHRA PRADESH,ADILABAD,BOATH,681,0,0,0,1,0,682
ANDHRA PRADESH,ADILABAD,CHENNUR,4,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,DAHEGAON,12,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,DILAWARPUR,648,0,0,0,0,0,648
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,11,0,0,0,0,0,11
ANDHRA PRADESH,ADILABAD,ICHODA,209,2,0,0,0,0,211
ANDHRA PRADESH,ADILABAD,JAINAD,15,0,0,0,0,0,15
ANDHRA PRADESH,ADILABAD,JAINOOR,2,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,1,0,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),2,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,KOTAPALLE,168,35,1,0,0,0,204
ANDHRA PRADESH,ADILABAD,KUBEER,428,0,0,0,0,0,428
ANDHRA PRADESH,ADILABAD,KUNTALA,734,0,0,2,0,0,736
ANDHRA PRADESH,ADILABAD,LAHESRA,1004,0,0,0,0,0,1004
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,43,0,0,0,0,0,43
ANDHRA PRADESH,ADILABAD,MUDHOLE,950,0,0,0,0,0,950
ANDHRA PRADESH,ADILABAD,NARNOOR,1,0,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,NENNAL,4,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,103,0,0,0,0,0,103
ANDHRA PRADESH,ADILABAD,NIRMAL,126,0,0,0,0,0,126
ANDHRA PRADESH,ADILABAD,SARANGAPUR,545,0,0,0,0,0,545
ANDHRA PRADESH,ADILABAD,SIRPUR (T),12,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,TALAMADUGU,81,0,0,0,0,0,81
ANDHRA PRADESH,ADILABAD,TAMSI,55,0,0,0,0,0,55
ANDHRA PRADESH,ADILABAD,TANUR,197,0,0,0,0,0,197
ANDHRA PRADESH,ANANTHAPUR,AGALI,172,0,0,0,0,0,172
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,50,0,0,0,0,0,50
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,225,0,0,0,0,0,225
