-----
{
 "description": "The table refers to district wise distribution of shallow tubewells by type . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.5.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells by type for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.5.csv"
}
-----
State,District,Shallow tubewell,Filter,Borewell,Others,Total
ANDHRA PRADESH,ADILABAD,6559,91,542,73,7265
ANDHRA PRADESH,ANANTHAPUR,13385,1594,6226,96,21301
ANDHRA PRADESH,CHITTOOR,7910,616,1601,11,10138
ANDHRA PRADESH,CUDDAPAH,7302,3695,1764,48,12809
ANDHRA PRADESH,EAST GODAVARI,9960,9471,1235,181,20847
ANDHRA PRADESH,GUNTUR,9442,4294,2178,6,15920
ANDHRA PRADESH,KARIMNAGAR,741,96,150,3,990
ANDHRA PRADESH,KHAMMAM,2856,505,451,22,3834
ANDHRA PRADESH,KRISHNA,10688,1130,775,102,12695
ANDHRA PRADESH,KURNOOL,6656,340,1733,13,8742
ANDHRA PRADESH,MAHABOOB NAGAR,15465,1681,4220,62,21428
ANDHRA PRADESH,MEDAK,19915,1448,9300,243,30906
ANDHRA PRADESH,NALGONDA,8853,1266,3471,129,13719
ANDHRA PRADESH,NELLORE,17937,10848,1141,268,30194
ANDHRA PRADESH,NIZAMABAD,39691,2166,4166,184,46207
ANDHRA PRADESH,PRAKASAM,6018,2062,2773,109,10962
ANDHRA PRADESH,RANGA REDDY,12592,504,3324,34,16454
ANDHRA PRADESH,SRIKAKULUM,5202,310,152,19,5683
ANDHRA PRADESH,VIJAYA NAGARAM,3832,125,148,23,4128
ANDHRA PRADESH,VISAKHAPATNAM,5033,178,161,16,5388
ANDHRA PRADESH,WARANGAL,2386,590,443,92,3511
ANDHRA PRADESH,WEST GODAVARI,11265,728,2046,37,14076
ASSAM,BARPETA,2358,2,2,1,2363
ASSAM,BONGAIGAON,851,0,0,1,852
