-----
{
 "description": "This table gives an overview of estimated requirements of additional vessels and investment.", 
 "file_name": "Estimated_Requirements_of_Additional_Vessels_And_Investment.xls", 
 "title": "Download XLS for Estimated Requirements of Additional Vessels And Investment", 
 "url": "http://data.gov.in/sites/default/files/Estimated_Requirements_of_Additional_Vessels_And_Investment.xls"
}
-----
"Tonnage Target","Investment (Rs. in crore)"
"Scenario 1    (  11.2 – 12.4 m GT)",2500.0
"Scenario2  (11.2 – 26.6 m GT)",32000.0
"Scenario 3  (11.2 – 53.3 m GT)",80000.0
