-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at constant prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPConsTamilnadu.csv", 
 "title": "Download CSV for Gross State Domestic Product of Tamil Nadu at factor cost at constant prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPConsTamilnadu.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",2102673,2344198,2705750,2578885,2509330,2673838,2879460,3185181,2801542
"Forestry & Logging",166433,175992,175039,179975,178396,184037,190115,192384,200268
"Fishing",167073,238981,243643,227886,230548,245725,265772,274807,277358
"Agriculture & Allied",2436179,2759171,3124432,2986746,2918274,3103600,3335347,3652372,3279168
"Mining & Quarrying",163329,155390,162159,164060,161137,176127,181640,204860,215142
"Manufacturing",4343267,4999365,5936906,5971886,5893398,7613374,8550826,8851584,8735598
"Manufacturing - Registered",2634704,3216073,3989897,3911593,3816206,5392647,6161539,6394822,6311029
"Manufacturing - Unregistered",1708563,1783292,1947009,2060293,2077192,2220728,2389287,2456762,2424570
"Construction",1965382,2283672,2385212,2829218,2979513,3133919,3838614,4240316,4811918
"Electricity, Gas and Water supply",459283,468747,485706,350632,90064,110199,152862,266486,530039
"Industry",6931260,7907174,8969983,9315796,9124112,11033619,12723942,13563245,14292697
"Transport, Storage & Communication",2030065,2281856,2591304,2833564,3272602,3726561,4253151,4543123,4789753
"Railways",185492,193319,207709,231539,272341,310979,305669,328025,352016
"Transport by other means",1352357,1495314,1664480,1783387,1918373,2076333,2262988,2397141,2471156
"Storage",7176,7506,9164,10021,10550,12948,14292,15983,16915
"Communication",485040,585717,709951,808617,1071338,1326301,1670202,1801973,1949666
"Trade, Hotels and restaurants",3736070,4344485,5238595,5464051,5663978,5918886,6701266,7072051,7056589
"Banking & Insurance",1586107,1864426,2220285,2600204,2864878,2949979,3382202,3737863,4130924
"Real estate, Ownership of dwellings and Business services",2298829,2647454,3084225,3600783,4083264,4361699,4799017,5406556,6020572
"Public Administration",927062,959289,1079527,1090448,1357637,1364899,1485665,1526587,1498480
"Other services",1954750,2192851,2444617,2624088,2894591,3203942,3660983,3833512,4063128
"Services",12532883,14290360,16658553,18213138,20136950,21525966,24282284,26119692,27559446
"State Domestic Product",21900322,24956705,28752968,30515680,32179336,35663186,40341573,43335309,45131312
