-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at constant prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPConsTripura.csv", 
 "title": "Download CSV for Gross State Domestic Product of Tripura at factor cost at constant prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPConsTripura.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",184846,188919,204814,243856,248151,244047,248928,253906,258985
"Forestry & Logging",24619,26199,26326,26293,35795,52079,65099,81373,93579
"Fishing",13699,15210,17856,21614,24339,28191,32138,36529,41643
"Agriculture & Allied",223164,230328,248996,291763,308285,324317,346164,371809,394207
"Mining & Quarrying",12825,13093,14229,14622,16547,18225,19865,21653,23602
"Manufacturing",35961,25648,29624,32062,34083,39740,43526,47738,54522
"Manufacturing - Registered",23200,10938,12694,13477,15223,18763,20452,22335,26578
"Manufacturing - Unregistered",12761,14710,16930,18585,18860,20977,23075,25403,27944
"Construction",141629,175581,199546,196282,216625,235885,254756,275557,311422
"Electricity, Gas and Water supply",25469,24207,23634,26656,28491,39164,47780,58292,64121
"Industry",215884,238529,267033,269622,295746,333014,365928,403240,453667
"Transport, Storage & Communication",25600,29812,36092,46205,52654,72345,83347,94521,106226
"Railways",197,201,251,245,205,220,235,251,269
"Transport by other means",15709,16808,18671,25441,29498,43237,48425,52526,55864
"Storage",174,188,212,242,245,406,508,634,761
"Communication",9520,12615,16958,20277,22706,28482,34178,41110,49332
"Trade, Hotels and restaurants",111807,113047,111325,111969,126487,136417,145966,156591,167553
"Banking & Insurance",16067,21100,25169,28376,30578,37951,45162,53936,64183
"Real estate, Ownership of dwellings and Business services",48672,52078,55101,62021,69943,76095,82183,88827,95933
"Public Administration",110763,116552,134339,136530,141474,166822,181836,198201,216039
"Other services",138396,140733,142190,152357,177325,183629,189138,197341,201500
"Services",451305,473322,504216,537458,598461,673259,727631,789417,851434
"State Domestic Product",890353,942179,1020245,1098843,1202492,1330590,1439724,1564465,1699308
