-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at current prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPCurrArunachal.csv", 
 "title": "Download CSV for Gross State Domestic Product of Arunachal Pradesh at factor cost at current prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPCurrArunachal.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",57224,57123,69130,88869,95778,140181,222926,282615,298638
"Forestry & Logging",63148,69080,71015,71312,72447,105373,130375,147822,175885
"Fishing",2071,2457,2836,3403,3584,3840,4443,4515,5324
"Agriculture & Allied",122443,128660,142981,163584,171809,249394,357744,434952,479847
"Mining & Quarrying",7866,10960,11265,13308,15480,25385,25641,28539,30188
"Manufacturing",7231,8609,10216,11837,12708,14574,17391,19408,22220
"Manufacturing - Registered",0,0,0,0,0,0,0,0,0
"Manufacturing - Unregistered",7231,8609,10216,11837,12708,14574,17391,19408,22220
"Construction",70478,78188,80130,101700,139415,126848,170623,220170,235396
"Electricity, Gas and Water supply",25699,24316,24590,29901,38156,46201,47199,55028,60937
"Industry",111274,122073,126201,156746,205759,213008,260854,323145,348741
"Transport, Storage & Communication",9938,10775,11848,12942,15198,19159,20873,23098,25206
"Railways",13,14,19,26,24,21,21,23,26
"Transport by other means",7491,7913,8717,9701,11733,15224,16834,18637,20465
"Storage",10,10,20,25,30,37,44,52,63
"Communication",2424,2838,3092,3190,3411,3877,3974,4386,4652
"Trade, Hotels and restaurants",12446,14389,15991,17815,20082,25747,34812,41043,44979
"Banking & Insurance",7509,8559,9416,12403,13572,16020,18678,23910,28037
"Real estate, Ownership of dwellings and Business services",7223,8048,9293,11132,12201,13664,15545,17060,18053
"Public Administration",41274,41589,46940,52290,63685,111743,102115,119138,132283
"Other services",36644,41422,48129,54088,66426,98710,90466,103539,117135
"Services",115034,124782,141617,160670,191164,285043,282489,327788,365693
"State Domestic Product",348751,375515,410799,481000,568732,747445,901087,1085885,1194281
