-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at current prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPCurrHaryana.csv", 
 "title": "Download CSV for Gross State Domestic Product of Haryana at factor cost at current prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPCurrHaryana.csv"
}
-----
Sector,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
Agriculture,2097146,2175379,2735729,3219437,4013723,4444567,5165500,6117937,6814533
Forestry & Logging,103950,112771,162430,212286,218624,268758,304822,317962,372086
Fishing,11406,13024,16247,19389,30898,35693,67644,85860,113348
Agriculture & Allied,2212502,2301174,2914406,3451112,4263245,4749018,5537966,6521759,7299967
Mining & Quarrying,19480,35807,37463,40240,39890,21279,8816,9807,9826
Manufacturing,2045451,2285997,2585538,2918529,3348017,4275333,4878675,5480767,6058012
Manufacturing - Registered,1392961,1572260,1769366,2012250,2378064,3204444,3664901,4117197,4550829
Manufacturing - Unregistered,652490,713737,816172,906279,969953,1070889,1213774,1363570,1507183
Construction,925679,1036625,1234098,1410798,1651030,2040135,2198096,2640917,3070843
"Electricity, Gas and Water supply",161217,208531,203707,221474,318087,334599,405833,316943,351889
Industry,3151827,3566960,4060806,4591041,5357024,6671346,7491420,8448434,9490570
"Transport, Storage & Communication",775329,935045,1089806,1326969,1515154,1885047,2143380,2478826,2975068
Railways,119026,152868,179996,240152,223999,266624,225724,245029,268062
Transport by other means,540422,651931,778381,936720,1115199,1410945,1717405,1985044,2389338
Storage,7592,7463,7759,13517,14708,12314,16146,19603,23853
Communication,108289,122783,123670,136580,161248,195164,184105,229150,293815
"Trade, Hotels and restaurants",1549223,1828065,2223714,2713376,3317725,4167382,5257877,6264806,7072719
Banking & Insurance,303307,349355,419335,495043,577626,662709,895184,1187777,1482346
"Real estate, Ownership of dwellings and Business services",844969,1058883,1196567,1469500,1734405,2177744,2615609,2917616,3417497
Public Administration,236044,269431,289117,326273,450617,562491,650332,722357,851633
Other services,506311,579544,679483,786276,1036419,1484288,1709538,1998921,2500289
Services,4215183,5020323,5898022,7117437,8631946,10939661,13271920,15570303,18299552
State Domestic Product,9579512,10888457,12873234,15159590,18252215,22360025,26301306,30540496,35090089
