-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at current prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPCurrMeghalaya.csv", 
 "title": "Download CSV for Gross State Domestic Product of Meghalaya at factor cost at current prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPCurrMeghalaya.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",108811,120898,150268,159001,167104,174935,184867,194255,204482
"Forestry & Logging",40157,38631,49302,47383,53786,50566,52830,56115,57462
"Fishing",3539,3362,3009,2737,2874,3670,3859,4083,4500
"Agriculture & Allied",152507,162891,202579,209121,223764,229171,241556,254453,266444
"Mining & Quarrying",61282,61855,73000,97001,83293,86701,92764,100587,107278
"Manufacturing",17942,33595,59228,71084,68785,70689,96938,107723,119279
"Manufacturing - Registered",10470,25482,49572,59823,57119,57965,82110,91535,101614
"Manufacturing - Unregistered",7472,8113,9656,11261,11666,12724,14828,16188,17665
"Construction",73677,81675,92967,105323,200778,210830,226415,268085,338618
"Electricity, Gas and Water supply",18566,17191,12010,27325,29174,32863,35418,39083,42949
"Industry",171467,194316,237205,300733,382030,401083,451535,515478,608124
"Transport, Storage & Communication",44444,49893,58128,65158,74510,88098,104839,121890,144326
"Railways",0,0,0,0,0,0,0,0,0
"Transport by other means",36080,39827,46764,52858,60504,71316,82930,95741,111518
"Storage",140,144,171,204,240,262,326,384,450
"Communication",8224,9922,11193,12096,13766,16520,21583,25765,32358
"Trade, Hotels and restaurants",63273,74233,92267,108040,112408,129471,138560,153726,161774
"Banking & Insurance",17585,19029,20833,22510,26073,30494,42869,54310,65782
"Real estate, Ownership of dwellings and Business services",74251,78391,82884,88388,93775,98524,105627,112518,119564
"Public Administration",87594,96204,107185,107661,161439,176828,213521,225212,242838
"Other services",44808,51558,61437,71862,87705,117241,154289,179705,227493
"Services",331955,369308,422734,463619,555910,640656,759705,847361,961777
"State Domestic Product",655929,726515,862518,973473,1161704,1270910,1452796,1617292,1836345
