-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "GujaratGSDPconst.csv", 
 "title": "Download CSV for Gujarat Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/GujaratGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","979343","1413827","1232296","1684618","1525713","1634963","1130800","992600","1339900","1135600","1857900","1658400"
"Foresty and Logging","43365","44625","45198","45301","47835","47312","46800","48600","49800","50900","52100","51500"
"Fishing","78791","84887","76627","84065","88916","77843","86500","74000","74700","79900","73200","72700"
"Mining and Quarrying","151018","161383","164853","164944","162467","162655","156900","154100","159500","177200","186300","193000"
"Sub total of primary","1252517","1704722","1518974","1978928","1824931","1922773","1421000","1269300","1623900","1443600","2169500","1975600"
"Manufacturing","1390435","1656212","1915583","2179230","2110270","2283997","2449100","2421900","2490100","2852300","3077000","3325000"
"Registered","943448","1171413","1371010","1586279","1525457","1621550","1697000","1496800","1546700","1863600","1996800","2184500"
"Unregistered","446987","484799","544573","592951","584813","662447","752100","925100","943400","988700","1080200","1140500"
"Construction","224331","219342","240257","240510","297237","324401","429600","359700","326600","423900","460300","544200"
"Electricity, Gas and water Supply","144747","146203","169651","175669","188692","203454","215200","219500","223400","279600","289100","314500"
"Sub total of secondary","1759513","2021757","2325491","2595409","2596199","2811852","3093900","3001100","3040100","3555800","3826400","4183700"
"Transport Storage and Communication","329603","360887","408708","438012","528114","552346","636100","695400","769800","844700","942900","1058100"
"Railways","69214","72194","77014","69562","73193","78628","78500","77900","84800","85600","91100","96100"
"Transport by other means","195135","214881","234501","262602","314396","327849","379700","412600","429900","452800","479200","505200"
"Storage","1272","1119","1421","1410","1536","1515","1600","1600","1900","1500","1600","1700"
"Communication","63982","72693","95772","104438","138989","144354","176300","203300","253200","304800","371000","455100"
"Trade, hotels and restaurants","520016","605542","674539","781634","861522","892236","863400","913200","1005200","1093600","1216200","1338800"
"Banking and Insurance","332255","348003","398889","364918","410417","440912","538000","469800","495400","551800","592900","640900"
"Real estate, ownership of dwelling and business","311589","320019","328772","337186","368089","390011","419100","457200","484500","513400","547000","584800"
"Pubic Administration","157435","164206","175304","176970","198615","256990","295600","280100","266900","265000","271500","268200"
"Other Services","256501","280678","293889","323511","356327","389986","468200","508400","540900","574500","613000","653200"
"Sub total of tertiary","1907399","2079335","2280101","2422231","2723084","2922481","3220400","3324100","3562700","3843000","4183500","4544000"
"State domestic product","4919429","5805814","6124566","6996568","7144214","7657106","7735400","7594500","8226700","8842400","10179400","10703300"

"Figures are in Rs. Lakh"
