-----
{
 "description": "The table shows Estimated Proportion of SN funds spent on children (in %). It provides the state-wise details regarding actual expenditure on children's supplementary nutrition, expenditure on children's supplementary nutrition as percentage to total expenditure on supplementary nutrition and ...", 
 "file_name": "ICDS_Table10.4.xls", 
 "title": "Download XLS for Estimated Proportion of supplementary nutrition funds spent on children (in %)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table10.4.xls"
}
-----
"States/UTs ","Number of PW & LM in '000 who received SN as on 31.3.2009*","Percent PW&LM receiving SN","Days for SN delivered (%)"
"Andhra Pradesh",1078.0,87.8,40.0
"Assam",493.0,7.7,0.0
"Bihar",710.0,68.0,40.0
"Chhattisgarh",519.0,76.8,64.0
"Gujarat",481.0,76.5,56.0
"Haryana",285.0,93.1,72.0
"Himachal Pradesh",97.0,75.3,64.0
"Jammu & Kashmir",99.0,90.4,64.0
"Jharkhand",662.0,91.4,80.0
"Karnataka",804.0,90.7,44.0
"Kerala",219.0,93.8,76.0
"Madhya Pradesh",1140.0,78.4,32.0
"Maharashtra",1007.0,93.3,80.0
"Orissa",782.0,90.1,80.0
"Punjab",306.0,87.8,64.0
"Rajasthan",810.0,83.8,16.0
"Tamil Nadu",523.0,89.5,52.0
"Uttar Pradesh",3794.0,69.5,36.0
"Uttaranchal",107.0,92.3,40.0
"West Bengal",785.0,96.9,80.0
"Delhi",112.0,89.4,56.0
"Chandigarh",7.0,100.0,80.0
"Arunachal Pradesh",24.0,63.3,28.0
"Manipur",55.0,23.6,8.0
"Meghalaya",59.0,66.5,56.0
"Mizoram",33.0,100.0,68.0
"Nagaland",53.0,92.3,28.0
"Tripura",66.0,66.8,28.0
"Sikkim",6.0,86.8,52.0
"Dadra & Nagar Haveli",4.0,100.0,96.0
"Daman & Diu",1.0,100.0,88.0
"Goa",12.0,100.0,96.0
"Puducherry",9.0,100.0,96.0
"Lakshadweep",2.0,78.3,48.0
"Andaman & Nicobar Islands",5.0,74.2,60.0
"All India",15147.0,78.3,48.0
