-----
{
 "description": "The table shows the percentage of AWW attended training and duration (in days). It gives details regarding job training, refresher course in growth monitoring, refresher course in pre-school education, joint training with health worker and skill training/special training. ", 
 "file_name": "ICDS_Table6.34.xls", 
 "title": "Download XLS for Percentage of AWW Attended Training and Duration (In Days)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.34.xls"
}
-----
"States/UTs ","Job training-% of AWW attended","Job training-Duration (in days)","Refresher course in growth monitoring-% of AWW attended","Refresher course in growth monitoring-Duration (in days)","Refresher course in pre-school education-% of AWW attended","Refresher course in pre-school education-Duration (in days)","Joint training with health worker-% of AWW attended","Joint training with health worker-Duration (in days)","Skill training/special training-% of AWW attended","Skill training/special training-Duration (in days)"
"Andhra Pradesh",100.0,69.0,85.7,9.0,76.6,7.0,26.7,4.0,30.6,5.0
"Assam",97.2,68.0,39.2,8.0,61.7,9.0,30.1,4.0,25.4,6.0
"Bihar",91.7,51.0,84.2,11.0,95.2,11.0,94.9,2.0,2.2,6.0
"Chhattisgarh",58.5,52.0,74.8,12.0,79.7,11.0,48.9,5.0,43.5,7.0
"Gujarat",95.1,73.0,73.6,11.0,70.4,8.0,63.1,6.0,26.8,4.0
"Haryana",100.0,62.0,82.8,14.0,76.8,11.0,91.9,6.0,28.4,4.0
"Himachal Pradesh",52.5,88.0,73.9,11.0,73.9,10.0,47.9,5.0,43.7,4.0
"Jammu and Kashmir",62.0,70.0,33.0,13.0,45.1,14.0,38.8,5.0,7.3,7.0
"Jharkhand",100.0,45.0,46.3,10.0,33.9,8.0,12.0,7.0,11.3,7.0
"Karnataka",64.1,42.0,64.4,4.0,63.8,7.0,70.8,4.0,29.1,2.0
"Kerala",90.6,55.0,78.8,11.0,77.8,8.0,6.5,7.0,29.4,3.0
"Madhya Pradesh",80.9,51.0,68.3,9.0,74.0,11.0,69.0,4.0,30.6,5.0
"Maharashtra",99.7,72.0,81.7,12.0,82.1,12.0,69.7,7.0,45.3,5.0
"Orissa",98.3,71.0,92.4,12.0,91.5,11.0,71.4,6.0,37.7,6.0
"Punjab",29.2,61.0,92.8,14.0,90.1,14.0,90.1,10.0,93.9,10.0
"Rajasthan",100.0,48.0,58.5,6.0,72.1,6.0,57.8,3.0,34.7,5.0
"Tamil Nadu",96.0,33.0,83.4,7.0,94.3,8.0,75.7,5.0,62.7,4.0
"Uttar Pradesh",57.1,43.0,46.0,7.0,64.3,12.0,58.4,3.0,29.7,6.0
"Uttrakhand",85.4,37.0,89.2,7.0,98.1,10.0,56.4,5.0,36.4,5.0
"West Bengal",98.0,66.0,77.2,8.0,84.0,7.0,23.2,5.0,7.4,5.0
"Delhi",69.2,85.0,80.0,14.0,21.7,12.0,50.8,2.0,20.0,2.0
"Chandigarh",80.0,90.0,100.0,15.0,100.0,15.0,100.0,1.0,60.0,11.0
"Arunachal Pradesh",87.7,30.0,15.6,3.0,17.1,2.0,18.4,1.0,18.4,6.0
"Manipur",96.0,76.0,76.0,6.0,80.0,7.0,16.0,1.0,64.1,6.0
"Meghalaya",86.5,68.0,100.0,12.0,100.0,13.0,86.5,6.0,72.9,5.0
"Mizoram",100.0,66.0,100.0,2.0,100.0,1.0,0.0,"",0.0,""
"Nagaland",100.0,60.0,100.0,7.0,100.0,7.0,66.3,3.0,31.3,3.0
"Tripura",63.8,55.0,98.4,8.0,79.4,6.0,6.2,2.0,21.1,3.0
"Sikkim",100.0,83.0,100.0,12.0,100.0,7.0,34.3,4.0,20.0,5.0
"Dadar & Nagar Haveli",100.0,78.0,100.0,9.0,100.0,8.0,100.0,3.0,0.0,""
"Daman & Diu",60.0,80.0,60.0,4.0,80.0,6.0,60.0,2.0,0.0,""
"Goa",100.0,90.0,100.0,14.0,100.0,10.0,100.0,3.0,100.0,7.0
"Puducherry",100.0,73.0,20.0,15.0,80.0,13.0,20.0,20.0,20.0,1.0
"Andaman & Nicobar Island",83.3,47.0,57.3,8.0,0.0,"",0.0,"",0.0,""
"All India",84.0,58.0,70.2,9.0,75.2,10.0,55.2,5.0,29.9,5.0
