-----
{
 "description": "The table shows the percentage distribution of awh by level of education. It gives state-wise details regarding the percentage of Anganwasi helpers who are illiterate, below primary, primary,  middle school, matric/high school and high school & above.\r", 
 "file_name": "ICDS_Table6.37.xls", 
 "title": "Download XLS for Percentage Distribution of AWH by Level of Education", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.37.xls"
}
-----
"States/UTs ","Illiterate","Below primary","Primary ","Middle ","Matric/High school","HS & above"
"Andhra Pradesh",64.7,24.4,6.8,2.1,2.0,0.0
"Assam",1.2,1.2,0.0,77.2,14.1,6.2
"Bihar",42.5,12.9,11.3,15.8,16.5,1.1
"Chhattisgarh",5.7,63.3,24.4,6.0,0.0,0.6
"Gujarat",25.9,14.8,25.5,26.1,0.0,7.8
"Haryana",60.5,2.4,17.2,17.3,2.7,0.0
"Himachal Pradesh",9.9,8.7,36.5,18.9,26.1,0.0
"Jammu and Kashmir",59.3,2.1,2.6,17.8,2.7,15.5
"Jharkhand",4.4,13.5,17.4,48.6,12.0,4.2
"Karnataka",55.0,35.4,9.6,0.0,0.0,0.0
"Kerala",6.1,0.0,2.1,37.7,49.9,4.3
"Madhya Pradesh",29.1,21.1,18.8,16.3,8.3,6.5
"Maharashtra",10.3,20.8,23.8,38.1,5.8,1.3
"Orissa",14.1,40.6,28.1,14.9,2.4,0.0
"Punjab",56.8,6.1,15.0,11.7,10.4,0.0
"Rajasthan",48.9,25.3,19.4,3.9,2.5,0.0
"Tamil Nadu",31.1,15.8,21.5,19.6,9.0,3.0
"Uttar Pradesh",18.3,0.5,19.0,52.4,7.1,2.7
"Uttrakhand",1.9,3.9,14.5,71.0,5.3,3.4
"West Bengal",2.3,7.0,23.2,64.6,2.9,0.0
"Delhi",18.3,32.5,29.2,9.2,10.8,0.0
"Chandigarh",40.0,0.0,40.0,20.0,0.0,0.0
"Arunachal Pradesh",30.7,49.1,9.4,10.8,0.0,0.0
"Manipur",0.0,0.0,4.0,68.1,0.0,28.0
"Meghalaya",0.0,6.5,33.5,46.5,13.5,0.0
"Mizoram",0.0,20.0,0.0,80.0,0.0,0.0
"Nagaland",0.0,22.6,30.1,22.3,11.3,13.8
"Tripura",35.4,2.7,3.5,58.4,0.0,0.0
"Sikkim",20.0,25.7,40.0,14.3,0.0,0.0
"Dadar & Nagar Haveli",60.0,0.0,40.0,0.0,0.0,0.0
"Daman & Diu",0.0,0.0,20.0,60.0,0.0,20.0
"Goa",0.0,0.0,40.0,20.0,40.0,0.0
"Puducherry",20.0,0.0,40.0,20.0,20.0,0.0
"Andaman & Nicobar Island",14.0,0.0,22.7,63.3,0.0,0.0
"All India",26.2,15.8,17.3,30.4,7.8,2.6
