-----
{
 "description": "The table shows the Community Leaders contribution regarding the various activities. It is believed that community workers should play a very important role in the success of an AWC. They could help in the following activities; selection of location, space, getting beneficiaries, helping in ...", 
 "file_name": "ICDS_Table6.51.xls", 
 "title": "Download XLS for Community Leaders Contribution regarding various activities", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.51.xls"
}
-----
"States/UTs ","Selection of location of AWC and providing space","Getting space for AWC","Selection of beneficiaries","Provided fans, chairs, durries/mattresses, etc","providing fuel","Help & support in construction, repair and maintenance of AWC/toilets","Storage facilities for ration/equipment","Solving problems/difficulties of AWCs","provided aids/ materials to conduct pre-school activities","Motivating community to avail services","Admitting children in school"
"Andhra Pradesh",56.1,54.4,49.1,43.0,31.6,32.5,47.4,67.5,61.4,71.9,80.7
"Assam",48.6,25.7,42.9,17.1,14.3,25.7,17.1,82.9,37.1,68.6,62.9
"Bihar",50.0,41.2,44.1,29.4,26.5,11.8,20.6,41.2,29.4,58.8,64.7
"Chhattisgarh",68.2,68.2,56.1,77.3,68.2,63.6,68.2,57.6,81.8,60.6,60.6
"Gujarat",44.7,39.5,55.3,39.5,18.4,34.2,13.2,68.4,23.7,39.5,57.9
"Haryana",71.4,61.9,76.2,42.9,23.8,23.8,23.8,61.9,38.1,66.7,66.7
"Himachal Pradesh",73.1,53.9,53.9,69.2,61.5,57.7,65.4,88.5,46.2,65.4,65.4
"Jammu and Kashmir",55.0,52.5,50.0,32.5,47.5,35.0,42.5,72.5,45.0,85.0,82.5
"Jharkhand",5.7,3.8,26.4,9.4,1.9,0.0,5.7,88.7,5.7,41.5,49.1
"Karnataka",83.3,81.3,60.4,64.6,62.5,77.1,68.8,81.3,62.5,72.9,79.2
"Kerala",80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0
"Madhya Pradesh",53.1,58.0,65.4,59.3,38.3,45.7,45.7,72.8,39.5,67.9,81.5
"Maharashtra",45.2,45.2,40.5,32.5,17.5,43.7,27.0,60.3,31.8,44.4,61.9
"Orissa",51.4,45.7,37.1,28.6,17.1,37.1,48.6,57.1,37.1,60.0,68.6
"Punjab",19.1,38.1,19.1,61.9,61.9,33.3,47.6,28.6,33.3,61.9,28.6
"Rajasthan",38.6,35.1,47.4,17.5,24.6,26.3,29.8,68.4,50.9,91.2,86.0
"Tamil Nadu",46.6,41.1,34.3,52.1,31.5,48.0,30.1,50.7,50.7,48.0,53.4
"Uttar Pradesh",30.2,29.4,58.8,32.0,11.0,12.9,21.3,48.5,29.4,77.6,77.2
"Uttrakhand",28.6,31.4,62.9,22.9,31.4,14.3,31.4,31.4,22.9,74.3,57.1
"West Bengal",21.1,13.7,53.7,15.8,2.1,6.3,9.5,86.3,0.0,35.8,55.8
"Delhi",37.5,50.0,87.5,25.0,12.5,25.0,12.5,75.0,25.0,87.5,75.0
"Chandigarh",100.0,100.0,100.0,100.0,14.3,100.0,100.0,100.0,100.0,100.0,100.0
"Arunachal Pradesh",100.0,100.0,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,33.3
"Manipur",57.1,42.9,28.6,14.3,14.3,28.6,0.0,57.1,57.1,28.6,85.7
"Meghalaya",77.8,22.2,11.1,11.1,11.1,0.0,11.1,77.8,66.7,55.6,77.8
"Mizoram",50.0,75.0,50.0,0.0,0.0,100.0,75.0,100.0,0.0,75.0,50.0
"Nagaland",91.7,75.0,25.0,33.3,33.3,66.7,58.3,83.3,33.3,41.7,50.0
"Tripura",81.3,68.8,68.8,50.0,18.8,75.0,37.5,87.5,25.0,81.3,75.0
"Sikkim",0.0,0.0,0.0,0.0,0.0,66.7,0.0,66.7,33.3,100.0,33.3
"Dadar & Nagar Haveli",60.0,80.0,60.0,60.0,40.0,60.0,40.0,80.0,80.0,100.0,100.0
"Daman & Diu",75.0,62.5,62.5,25.0,12.5,50.0,37.5,75.0,37.5,100.0,87.5
"Goa",100.0,100.0,50.0,12.5,0.0,0.0,0.0,100.0,37.5,100.0,50.0
"Andaman & Nicobar Island",0.0,0.0,33.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.7
"All India",45.2,42.2,50.6,37.2,25.1,31.5,32.2,64.2,37.6,63.9,68.8
