-----
{
 "description": "The table shows the pregnant women following advices regarding services/activities about child care discussed during NHE. It is observed that the best performing states have been Andhra Pradesh, Kerala and Himachal Pradesh specifically on factors such taking care and monitoring of child's growth, ...", 
 "file_name": "ICDS_Table7.18.xls", 
 "title": "Download XLS for Pregnant Women Following Advices Regarding Services/Activities about Child Care Discussed During NHE", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table7.18.xls"
}
-----
"States/UTs","Taking care and monitoring of child's growth","Timely immunization","About breast feeding","About colostrum feeding","About treatment of diarrhoea/ minor illness","About preparation of nutritious food/feeding practices","Provide medicine/ consult AWW during illness","Importance of education of the child","Cleanliness and hygiene"
"Andhra Pradesh",53.5,53.5,54.0,54.0,53.5,52.2,55.1,52.3,53.4
"Assam",9.0,9.0,8.1,7.2,12.3,9.0,12.3,9.0,10.5
"Bihar",11.7,12.8,12.8,10.5,12.3,7.4,9.9,11.8,10.4
"Chhattisgarh",28.7,39.0,34.3,33.9,54.2,14.0,13.1,31.6,41.8
"Gujarat",37.1,42.7,33.5,28.8,36.5,21.1,32.3,30.9,38.0
"Haryana",32.5,32.5,32.5,30.9,31.7,32.5,31.7,32.5,32.5
"Himachal Pradesh",51.1,51.1,51.1,44.6,51.1,51.1,44.6,51.1,43.7
"Jammu and Kashmir",11.8,11.8,11.8,11.4,10.7,11.8,11.4,11.8,11.4
"Jharkhand",28.8,35.2,26.0,31.6,22.9,17.3,30.3,37.5,26.7
"Karnataka",21.6,21.2,20.6,18.0,20.6,19.8,20.2,20.4,21.2
"Kerala",53.4,53.4,51.2,51.2,51.2,51.2,48.1,50.4,53.4
"Madhya Pradesh",20.8,20.8,20.8,20.5,18.5,18.8,20.8,18.5,20.5
"Maharashtra",46.8,48.1,43.8,43.9,39.4,41.4,39.0,44.8,38.9
"Orissa",39.7,41.5,38.5,30.9,26.5,21.1,26.0,30.1,34.9
"Punjab",11.9,11.9,11.9,10.1,7.4,7.4,10.1,10.1,10.1
"Rajasthan",19.6,21.0,21.3,20.4,14.7,13.0,15.4,20.6,18.2
"Tamil Nadu",34.7,36.5,34.1,34.1,35.3,35.6,35.3,33.3,36.3
"Uttar Pradesh",7.7,10.9,10.4,9.3,7.3,7.9,7.2,7.9,7.8
"Uttrakhand",13.4,13.4,9.9,9.9,13.4,13.0,9.9,13.4,13.4
"West Bengal",24.8,33.2,21.8,22.9,19.1,16.7,19.4,28.4,24.1
"Delhi",14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
"Chandigarh",82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1
"Arunachal Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Manipur",12.7,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
"Meghalaya",10.1,10.1,10.1,10.1,10.1,2.5,10.1,10.1,2.5
"Mizoram",10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
"Nagaland",0.0,7.9,7.9,0.0,0.0,0.0,0.0,7.9,0.0
"Tripura",3.8,22.9,5.6,4.7,3.8,3.0,21.2,5.6,3.0
"Sikkim",35.9,46.1,46.1,34.6,20.5,0.0,0.0,0.0,0.0
"Dadar & Nagar Haveli",45.7,45.7,45.7,45.7,31.5,45.7,45.7,31.5,31.5
"Daman & Diu",40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3
"Goa",30.7,30.7,18.2,18.2,30.7,30.7,30.7,30.7,30.7
"Puducherry",5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
"Andaman & Nicobar Island",0.0,4.6,4.6,2.8,2.8,0.0,0.0,4.6,2.8
"All India",23.3,25.8,23.6,22.6,21.9,19.3,20.9,22.9,22.7
