-----
{
 "description": "The table shows the Nutritional status of children aged 7 months-60 months. It provides state-wise details regarding the nutritional status of children who are covered under the Integrated Child Development Services (ICDS) scheme and those who are not covered under the scheme.", 
 "file_name": "ICDS_Table9.2.xls", 
 "title": "Download XLS for Nutritional status of children aged 7 months-60 months", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table9.2.xls"
}
-----
"States/UTs ","ICDS-Moderately malnourished","ICDS-Severely malnourished","Non-ICDS-Moderately malnourished","Non-ICDS-Severely malnourished","(MWCD,2009)-Moderately malnourished","(MWCD,2009)-Severely malnourished"
"Andhra Pradesh",43.1,4.6,49.2,4.8,49.9,0.1
"Assam",46.1,6.7,50.1,3.2,35.0,0.6
"Bihar",43.0,10.2,48.6,11.4,66.7,33.3
"Chhattisgarh",49.5,9.4,40.9,7.1,52.3,0.7
"Gujarat",53.1,6.1,36.3,13.8,56.1,0.8
"Haryana",42.6,2.1,46.3,0.8,43.8,0.1
"Himachal Pradesh",43.2,0.6,43.0,0.0,37.2,0.1
"Jammu and Kashmir",35.0,2.0,29.5,3.4,31.1,0.1
"Jharkhand",43.9,7.8,40.2,5.5,42.8,0.8
"Karnataka",49.7,5.3,39.7,8.3,51.6,0.4
"Kerala",35.2,1.2,42.9,0.0,37.1,0.1
"Madhya Pradesh",51.6,9.5,59.5,9.1,43.5,0.4
"Maharashtra",42.3,2.5,42.4,5.8,37.8,0.1
"Orissa",45.2,8.9,39.3,12.9,51.9,0.8
"Punjab",32.7,3.7,22.5,4.3,34.8,0.1
"Rajasthan",43.6,8.5,44.5,10.5,46.6,0.7
"Tamil Nadu",41.4,3.3,42.3,3.8,36.5,0.0
"Uttar Pradesh",52.6,8.8,52.1,9.1,52.2,0.5
"Uttrakhand",43.9,6.5,26.7,9.0,93.5,2.1
"West Bengal",38.4,3.8,47.2,6.7,49.0,0.6
"Delhi",54.4,1.5,49.9,0.0,49.9,0.0
"Chandigarh",19.3,6.4,77.8,0.0,31.3,0.4
"Arunachal Pradesh",39.2,11.4,50.9,0.0,0.0,0.0
"Manipur",28.4,0.0,14.7,0.0,13.6,0.2
"Meghalaya",36.3,4.7,38.2,13.1,38.2,0.2
"Mizoram",30.1,8.0,0.0,0.0,26.8,0.1
"Nagaland",10.3,1.9,22.9,5.7,6.3,0.1
"Tripura",41.3,5.6,43.8,0.0,38.1,0.3
"Sikkim",28.9,0.0,29.8,0.0,17.4,0.0
"Dadar& Nagar Haveli",68.0,0.0,21.2,8.5,71.9,0.4
"Daman & Diu",38.1,6.6,12.8,0.0,52.7,0.1
"Goa",15.5,0.0,51.9,0.0,37.5,0.1
"Puducherry",32.0,0.0,6.4,0.0,39.7,0.0
"Andaman & Nicobar Islands",26.2,0.0,53.2,0.0,13.3,2.4
"All India",46.1,6.6,46.7,7.3,45.5,0.4
