-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "JharkhandGSDPcurrent.csv", 
 "title": "Download CSV for Jharkhand Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/JharkhandGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","316538","350656","350457","421762","458424","521909","686772","404846","688660","713756","781242","855109"
"Foresty and Logging","31271","35630","30874","29377","29147","32244","34108","86063","94254","52562","55684","58991"
"Fishing","19744","17163","25059","26545","26867","29403","32425","18665","43763","23769","6999","9718"
"Mining and Quarrying","284233","315472","311057","376238","440303","438954","359802","453299","439257","532924","571475","612816"
"Sub total of primary","651786","718921","717447","853922","954741","1022510","1113107","962873","1265934","1323011","1415400","1536634"
"Manufacturing","387604","440017","535793","433892","866746","917989","857731","547315","524819","871476","953687","1043678"
"Registered","349792","394921","494082","388021","790354","871434","840364","485062","450228","797847","874399","958296"
"Unregistered","37812","45096","41711","45871","76392","46555","17367","62253","74591","73629","79288","85382"
"Construction","78321","80358","101938","113332","134073","152728","115830","243157","261544","219009","245517","275234"
"Electricity, Gas and water Supply","44667","51567","47722","58423","65135","53641","58805","70900","81790","76885","81667","86747"
"Sub total of secondary","510592","571942","685453","605647","1065954","1124358","1032366","861372","868153","1167370","1280871","1405659"
"Transport Storage and Communication","84075","99413","105658","114665","133607","149151","167172","190126","209020","227071","254123","284530"
"Railways","43051","51027","52241","53432","63221","61109","60280","81620","91424","98515","108006","118412"
"Transport by other means","31653","34982","38526","45511","52102","64526","74186","79832","84224","91422","102844","115691"
"Storage","588","623","755","819","893","1109","1036","1163","2247","2270","2638","3065"
"Communication","8783","12781","14136","14903","17391","22407","31670","27511","31125","34864","40635","47362"
"Trade, hotels and restaurants","167186","183142","197992","230575","260880","350311","344799","270811","296579","343386","371975","402945"
"Banking and Insurance","28844","32515","43572","57831","70727","73002","112479","95678","110825","122359","143670","168693"
"Real estate, ownership of dwelling and business","53146","59575","66574","72655","79854","90649","106668","112879","142167","162372","183825","208112"
"Pubic Administration","51739","58815","61116","69039","81178","117640","126918","176271","225618","157169","177821","201187"
"Other Services","72074","84403","97137","114769","124638","127478","47563","148953","152309","139103","149646","160988"
"Sub total of tertiary","457064","517863","572049","659534","750884","908231","905599","994718","1136518","1151460","1281060","1426455"
"State domestic product","1619442","1808726","1974949","2119103","2771579","3055099","3051072","2818963","3270605","3641841","3977331","4368748"

"Figures are in Rs. Lakh"
