-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "JharkhandNSDPconst.csv", 
 "title": "Download CSV for Jharkhand Net State Domestic Product at factor cost at Constant Prices forthe base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/JharkhandNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","304872","344714","325648","346220","345234","350968","414176","338272","425327","472087","495590","520263"
"Foresty and Logging","31153","32885","26957","23283","22385","21435","21728","74050","51704","35680","36224","36776"
"Fishing","17563","14927","21674","20790","16951","19084","20353","14196","21478","14396","4381","6679"
"Mining and Quarrying","207777","211259","202203","219985","259474","252840","254507","307968","218353","309874","323946","338657"
"Sub total of primary","561365","603785","576482","610278","644044","644327","710764","734486","716862","832037","860141","902375"
"Manufacturing","292632","304677","343594","226371","518008","598336","525919","300704","236415","487192","515815","546165"
"Registered","263312","271307","319807","201880","469856","576523","522953","267434","199762","450474","478168","507565"
"Unregistered","29320","33370","23787","24491","48152","21813","2966","33270","36653","36718","37647","38600"
"Construction","74752","66997","80363","90000","101954","110622","77816","196374","192447","157992","171691","186577"
"Electricity, Gas and water Supply","19122","19109","16571","16261","17869","15349","11524","27574","26767","15208","14826","14453"
"Sub total of secondary","386506","390783","440528","332632","637831","724307","615259","524652","455629","660392","702332","747195"
"Transport Storage and Communication","57237","59979","61163","62734","65489","64151","63115","51025","102817","93670","99214","105136"
"Railways","29967","30357","31260","31430","30936","21732","14091","12426","50632","40809","42276","43795"
"Transport by other means","19872","20056","19434","20731","22333","26447","25463","26492","31758","35786","38199","40776"
"Storage","540","532","621","564","560","606","499","532","1142","1164","1269","1382"
"Communication","6858","9034","9848","10009","11660","15366","23062","11575","19285","15911","17470","19183"
"Trade, hotels and restaurants","157422","155077","156059","118540","174804","236577","207420","212720","166046","187562","191248","195008"
"Banking and Insurance","28197","26578","30801","47300","53310","57150","83031","82037","79415","70814","78443","86893"
"Real estate, ownership of dwelling and business","35152","37207","39763","42647","46367","47793","53615","57523","61211","67504","72579","78037"
"Pubic Administration","44235","46489","44905","46248","51529","63759","66920","71700","110561","82834","88813","95225"
"Other Services","70196","76509","81217","85594","88177","78641","22713","18819","79848","79732","80868","82021"
"Sub total of tertiary","392439","401839","413908","403063","479676","548071","496814","493824","599898","582116","611165","642320"
"State domestic product","1340310","1396407","1430918","1345973","1761551","1916705","1822837","1752962","1772389","2074545","2173638","2291890"

"Figures are in Rs. Lakh"
