-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "KarnatakaNSDPconst.csv", 
 "title": "Download CSV for Karnataka Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/KarnatakaNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1283946","1263811","1290334","1343758","1302437","1481798","1634442","1852057","1538616","1396341","1158178","1358750"
"Foresty and Logging","87932","97108","94483","107581","99617","101019","97585","97660","104036","98529","97867","99769"
"Fishing","14395","15221","20180","20730","20870","17787","20256","21747","18351","25015","22255","20601"
"Mining and Quarrying","22661","23505","23081","25842","35890","24374","30234","36347","42870","49374","59178","67241"
"Sub total of primary","1408934","1399645","1428078","1497911","1458814","1624978","1782517","2007811","1703873","1569259","1337478","1546361"
"Manufacturing","650282","722375","708299","772304","839228","1005987","836056","849388","973713","1053030","1224532","1301892"
"Registered","395685","453169","432553","473496","521417","662263","470267","444434","552733","610491","763031","815608"
"Unregistered","254597","269206","275746","298808","317811","343724","365789","404954","420980","442539","461501","486284"
"Construction","199081","189763","229626","262124","322112","386660","435061","449920","483763","531070","535949","535508"
"Electricity, Gas and water Supply","38205","47229","44836","42294","44027","63398","54413","70907","83921","74326","66464","69421"
"Sub total of secondary","887568","959367","982761","1076722","1205367","1456045","1325530","1370215","1541397","1658426","1826945","1906821"
"Transport Storage and Communication","116276","127475","152995","194043","219718","255776","314863","357936","383168","443934","530283","631369"
"Railways","6274","6963","8594","17866","9432","10903","13277","16354","20356","24626","26427","28637"
"Transport by other means","49665","49965","55141","68403","79259","100614","106821","113507","121551","133295","142565","155384"
"Storage","625","693","831","881","1017","1123","1246","1307","1558","1573","1706","1291"
"Communication","59712","69854","88429","106893","130010","143136","193519","226768","239703","284440","359585","446057"
"Trade, hotels and restaurants","437370","504024","553636","653613","677531","795518","789086","907572","988795","1049716","1110988","1212295"
"Banking and Insurance","187275","218489","244941","266060","317880","316271","370143","415921","457155","546998","587758","630532"
"Real estate, ownership of dwelling and business","241199","252273","266769","281040","300592","324460","359252","400009","431779","453699","554970","671467"
"Pubic Administration","153984","152150","168976","173637","191462","200815","227437","221633","230357","229540","242124","242234"
"Other Services","265622","278282","299233","330629","380319","422229","485500","532144","570561","624913","699813","788751"
"Sub total of tertiary","1401726","1532693","1686550","1899022","2087502","2315069","2546281","2835215","3061815","3348800","3725936","4176648"
"State domestic product","3698229","3891705","4097390","4473655","4751682","5396093","5654327","6213241","6307085","6576485","6890359","7629830"

"Figures are in Rs. Lakh"
