-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "KeralaGSDPcurrent_1.csv", 
 "title": "Download CSV for Kerala Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/KeralaGSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","1698051","1894914","2082101","2221633","2492744","2574835","3396298","3949901"
"Foresty and Logging","204902","258787","229261","260832","351414","416919","380119","440724"
"Fishing","181422","248196","264409","263431","268413","323461","340990","371778"
"Ag and Allied","2084375","2401897","2575771","2745896","3112571","3315215","4117408","4762404"
"Mining and Quarrying","45778","68092","62343","136876","129937","172531","175564","195005"
"Sub total of primary","2130153","2469989","2638114","2882772","3242508","3487746","4292971","4957409"
"Manufacturing","1022058","1092095","1229466","1508223","1735690","1756980","2020037","2291924"
"Registered","457614","479855","500903","643781","836319","777588","910229","1035459"
"Unregistered","564444","612240","728563","864442","899371","979392","1109808","1256465"
"Construction","1448764","1744919","1997812","2173999","2321153","2821823","3392000","3951143"
"Electricity, Gas and water Supply","218290","241735","261348","285733","245380","310975","348103","391560"
"Sub total of secondary","2689112","3078749","3488626","3967955","4302223","4889778","5760139","6634626"
"Industry","2734890","3146841","3550969","4104831","4432160","5062310","5935703","6829631"
"Transport Storage and Communication","1183377","1335474","1493931","1641203","1959396","2264399","2620868","3045623"
"Railways","54765","55109","61413","62437","87296","108003","108979","122252"
"Transport by other means","831308","956762","1081865","1207848","1465612","1704876","1968191","2286516"
"Storage","5063","5384","6549","8056","9456","11255","13510","16372"
"Communication","292241","318219","344104","362862","397032","440265","530187","620483"
"Trade, hotels and restaurants","2387056","2803964","3170077","3560040","4268598","5202700","5967518","7141627"
"Banking and Insurance","606049","668563","761235","871788","1024586","1127933","1388482","1659986"
"Real estate, ownership of dwelling and business","1301911","1543386","1793201","2151609","2614383","3005049","3272965","3855504"
"Pubic Administration","497921","554832","646446","774267","898236","942743","1120574","1313641"
"Other Services","1130821","1229219","1386858","1664474","1968349","2279518","2523861","2912149"
"Sub total of tertiary","7107135","8135438","9251748","10663381","12733548","14822343","16894268","19928532"
"State domestic product","11926400","13684176","15378488","17514108","20278279","23199867","26947379","31520567"

"Figures are in Rs. Lakh"
