-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "KeralaNSDPconst.csv", 
 "title": "Download CSV for Kerala Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/KeralaNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","625603","689697","694671","711466","677678","689962","701705","544822","531156","539447","549229","558581"
"Foresty and Logging","74340","81401","71661","74640","72479","75683","80182","68985","82588","84668","88415","90675"
"Fishing","63849","68241","59774","66012","53424","57329","62300","62180","63028","60817","65266","70929"
"Mining and Quarrying","5010","4064","5768","5048","5600","6520","6781","8436","8023","9346","10886","11326"
"Sub total of primary","768802","843403","831874","857166","809181","829494","850968","684423","684795","694278","713796","731511"
"Manufacturing","269832","325889","353751","340550","329021","350458","369687","353129","312153","305182","326967","345837"
"Registered","135764","155733","175239","168617","172039","193471","209064","207327","182741","174781","196558","212404"
"Unregistered","134068","170156","178512","171933","156982","156987","160623","145802","129412","130401","130409","133433"
"Construction","197049","199786","199276","204232","227233","252240","219186","266421","281305","335638","372579","323760"
"Electricity, Gas and water Supply","17658","18482","18240","24320","29806","35933","48518","82447","89505","93788","113407","153629"
"Sub total of secondary","484539","544157","571267","569102","586060","638631","637391","701997","682963","734608","812953","823226"
"Transport Storage and Communication","134320","148948","172976","181348","202925","219848","256397","326459","391177","483145","563335","729617"
"Railways","4474","5403","6320","7402","6549","6873","7933","8714","9338","8497","9247","9843"
"Transport by other means","103789","113989","127065","133497","147665","152362","167971","200844","211583","242712","250437","276098"
"Storage","521","540","653","659","645","694","653","787","1069","873","944","893"
"Communication","25536","29016","38938","39790","48066","59919","79840","116114","169187","231063","302707","442783"
"Trade, hotels and restaurants","448431","483457","513594","528555","562538","598017","648161","768898","725975","805092","855873","927643"
"Banking and Insurance","111005","122968","141407","180090","168681","220560","248188","269289","308500","307602","330514","358771"
"Real estate, ownership of dwelling and business","131203","135063","140048","147185","157287","165724","171367","167903","148862","171650","180861","187023"
"Pubic Administration","116533","109158","115657","119124","134495","137964","184368","183591","174767","230886","236846","286513"
"Other Services","190274","203638","207924","220075","242148","250192","281661","293708","323375","327688","338578","361168"
"Sub total of tertiary","1131766","1203232","1291606","1376377","1468074","1592305","1790142","2009848","2072656","2326063","2506007","2850735"
"State domestic product","2385107","2590792","2694747","2802645","2863315","3060430","3278501","3396268","3440414","3754949","4032756","4405472"

"Figures are in Rs. Lakh"
