-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "KeralaNSDPconst_1.csv", 
 "title": "Download CSV for Kerala Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/KeralaNSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","20010-11","2011-12"
"Agriculture","1365071","1437106","1278184","1264532","1368481","1298181","1239215","1222055"
"Foresty and Logging","202195","210678","211409","223234","230311","237284","226653","231130"
"Fishing","158049","140526","148098","147259","147008","146344","139155","136419"
"Ag and Allied","1725315","1788310","1637691","1635025","1745800","1681809","1605023","1589604"
"Mining and Quarrying","38328","49182","42906","33106","38083","48983","40500","41786"
"Sub total of primary","1763643","1837492","1680597","1668131","1783883","1730792","1645523","1631390"
"Manufacturing","808608","824712","884335","1068208","1052421","1049507","1136931","1207381"
"Registered","347573","346885","338853","431652","445580","437823","485783","515993"
"Unregistered","461035","477827","545482","636556","606841","611684","651148","691387"
"Construction","1392541","1604687","1712403","1746480","1788250","1953869","2128086","2285944"
"Electricity, Gas and water Supply","97464","99967","102121","105728","82574","97428","100947","103434"
"Sub total of secondary","2298613","2529366","2698859","2920416","2923245","3100803","3365965","3596759"
"Industry","2336941","2578548","2741765","2953522","2961328","3149786","3406465","3638544"
"Transport Storage and Communication","1003398","1153489","1352173","1547514","1825414","2187270","2547158","3065007"
"Railways","41337","43181","44670","43998","62578","71516","75587","84230"
"Transport by other means","711989","787275","837284","860850","971161","1135657","1205766","1317634"
"Storage","4702","4751","5633","6441","6633","7416","8454","9337"
"Communication","245370","318282","464586","636225","785042","972681","1257351","1653805"
"Trade, hotels and restaurants","2302700","2587362","2853461","3073142","3173922","3555732","3878149","4231848"
"Banking and Insurance","594202","707455","828586","959981","1076139","1188831","1349533","1547754"
"Real estate, ownership of dwelling and business","1064637","1206538","1365179","1509300","1642475","1694058","1787331","1949692"
"Pubic Administration","400442","428318","485548","556477","592477","579564","655914","713190"
"Other Services","1049970","1099966","1198063","1339785","1391837","1675218","1794120","1964119"
"Sub total of tertiary","6415349","7183128","8083010","8986199","9702264","10880674","12012203","13471611"
"State domestic product","10477605","11549986","12462466","13574746","14409392","15712270","17023691","18699759"

"Figures are in Rs. Lakh"
