-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "MadhyaPradeshGSDPcurrent.csv", 
 "title": "Download CSV for Madhya Pradesh Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MadhyaPradeshGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1408457","1445638","1578724","1871785","1947385","2270588","2418350","1814128","2358527","2005294","2895634","2811416","2616403"
"Foresty and Logging","98003","120554","128900","134732","167098","165351","156398","177606","205160","202294","217392","240303","247755"
"Fishing","3691","4876","7404","9235","12281","12981","16551","18014","20915","18065","21905","27841","28817"
"Mining and Quarrying","129815","133877","147089","166549","185591","225009","312589","292530","361604","361133","476736","510430","571240"
"Sub total of primary","1639966","1704945","1862117","2182301","2312355","2673929","2903888","2302278","2946206","2586786","3611667","3589990","3464215"
"Manufacturing","482839","652731","759957","840712","940673","1027609","1141953","1276173","1295297","1069815","1128066","1218418","1358231"
"Registered","279441","366058","443611","478525","538387","574017","666032","742749","740515","664172","694698","760789","863497"
"Unregistered","203398","286673","316346","362187","402286","453592","475921","533424","554782","405643","433368","457629","494734"
"Construction","192060","212175","242276","266741","281534","342129","613317","497698","542099","643958","746022","834988","976725"
"Electricity, Gas and water Supply","128060","146039","165442","175842","200429","245535","218382","283325","300134","319289","365370","412907","461156"
"Sub total of secondary","802959","1010945","1167675","1283295","1422636","1615273","1973652","2057196","2137530","2033062","2239458","2466313","2796112"
"Transport Storage and Communication","218120","258989","286183","327747","364587","395122","427955","462303","596593","655294","723427","797231","907070"
"Railways","105838","126027","134590","130672","137939","120056","135214","146505","191378","214156","218612","223068","248453"
"Transport by other means","86582","99558","116969","145276","170918","206984","231408","248524","313448","344704","385800","433966","482484"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","25700","33404","34624","51799","55730","68082","61333","67274","91767","96434","119015","140197","176133"
"Trade, hotels and restaurants","420438","462278","542041","647147","726136","824752","898804","805669","942547","874682","1112905","1127346","1168003"
"Banking and Insurance","86831","104236","136649","170718","198013","207599","235571","264770","294466","350447","391435","432423","500682"
"Real estate, ownership of dwelling and business","237626","258421","279341","301828","323235","364812","413740","501076","558158","607746","643857","681629","733992"
"Pubic Administration","164771","180797","211454","235663","263171","349855","364047","365413","376006","397965","384404","416097","452972"
"Other Services","226387","253246","298606","356215","396028","490254","572401","612831","617353","647570","705221","794645","882454"
"Sub total of tertiary","1354173","1517967","1754274","2039318","2271170","2632394","2912518","3012062","3385123","3533704","3961249","4249371","4645173"
"State domestic product","3797098","4233857","4784066","5504914","6006161","6921596","7790058","7371536","8468859","8153552","9812374","10305674","10905500"

"Figures are in Rs. Lakh"
