-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MadhyaPradeshNSDPconst.csv", 
 "title": "Download CSV for Madhya Pradesh Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MadhyaPradeshNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","1356884","1321740","1360555","1438690","1466918","1472004","1576012","1108250","1399236","1114022","1593813","1533873","1366355"
"Foresty and Logging","96715","102053","98713","103047","105683","104062","93547","102185","113898","109248","108015","119699","122981"
"Fishing","3240","4529","6211","6672","7675","7088","7568","7228","8175","7149","8615","10521","10278"
"Mining and Quarrying","94252","82471","86711","89424","88166","117370","119855","137283","139894","158193","171137","182999","184830"
"Sub total of primary","1551091","1510793","1552190","1637833","1668442","1700524","1796982","1354946","1661203","1388612","1881580","1847092","1684444"
"Manufacturing","401938","475612","513125","533670","608972","624942","644879","722242","694027","536056","545558","563622","617708"
"Registered","212270","241711","272780","273784","333074","337017","351752","406244","372164","324467","325220","342618","388769"
"Unregistered","189668","233901","240345","259886","275898","287925","293127","315998","321863","211589","220338","221004","228939"
"Construction","183164","190430","199891","208430","212505","258423","506443","382827","403213","474473","545783","606683","678884"
"Electricity, Gas and water Supply","46001","47302","58308","57720","55185","101415","89173","59763","47638","62621","68421","72765","80499"
"Sub total of secondary","631103","713344","771324","799820","876662","984780","1240495","1164832","1144878","1073150","1159762","1243070","1377091"
"Transport Storage and Communication","151378","157803","171944","191566","209382","210504","254800","272698","326882","372182","423533","472151","536529"
"Railways","82267","83971","90859","87908","93379","73805","105686","110729","124421","134487","143841","152515","163277"
"Transport by other means","50273","51281","59172","68099","78557","91434","101622","102665","112948","121302","132518","143539","154903"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","18838","22551","21913","35559","37446","45265","47492","59304","89513","116393","147174","176097","218349"
"Trade, hotels and restaurants","408789","393608","438027","471809","518561","552443","556183","464504","513753","455038","572719","568329","561612"
"Banking and Insurance","84380","93377","105319","138547","164406","160208","169623","183358","195893","230514","247684","264850","293071"
"Real estate, ownership of dwelling and business","206791","213360","220095","226895","233706","239795","246002","294270","308823","323734","328483","333542","340816"
"Pubic Administration","140835","143444","154035","163245","162274","211532","213618","205321","203021","206710","195218","207209","217425"
"Other Services","219360","227172","247157","276012","276714","321701","363831","369988","355320","356524","381036","417642","441402"
"Sub total of tertiary","1211533","1228764","1336577","1468074","1565043","1696183","1804057","1790139","1903692","1944702","2148673","2263723","2390855"
"State domestic product","3393727","3452901","3660091","3905727","4110147","4381487","4841534","4309917","4709773","4406464","5190015","5353885","5452390"

"Figures are in Rs. Lakh"
