-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MadhyaPradeshNSDPcurrent.csv", 
 "title": "Download CSV for Madhya Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/MadhyaPradeshNSDPcurrent.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","2543567","2824436","3151291","3286567","4052350","4922725","5213519","6665812","7990781"
"Foresty and Logging","337029","359611","379128","407718","469279","551615","613781","723823","793328"
"Fishing","24254","24278","29143","27913","36976","40856","44008","52016","63572"
"Ag and Allied","2904850","3208325","3559562","3722198","4558605","5515196","5871308","7441651","8847681"
"Mining and Quarrying","454418","477461","508224","647967","763713","794427","732930","711654","774676"
"Sub total of primary","3359268","3685786","4067786","4370165","5322318","6309623","6604238","8153305","9622357"
"Manufacturing","980186","1094896","1550664","1715464","2180436","2398409","2763345","3140901","3409836"
"Registered","542453","628597","1008548","1092335","1512747","1676838","1942669","2189718","2395494"
"Unregistered","437733","466299","542116","623129","667689","721571","820676","951183","1014342"
"Construction","895856","1032902","1105947","1424380","1982243","2158737","2535643","3025613","3589134"
"Electricity, Gas and water Supply","149361","110475","177789","119333","203602","255580","400518","491317","568023"
"Sub total of secondary","2025403","2238273","2834400","3259177","4366281","4812726","5699506","6657831","7566993"
"Industry","2479821","2715734","3342624","3907144","5129994","5607153","6432436","7369485","8341669"
"Transport Storage and Communication","570929","626964","760958","839199","956664","1111663","1249164","1464636","1786186"
"Railways","153703","151353","215590","223639","222952","271335","261617","286633","322449"
"Transport by other means","308528","358746","426760","489793","561202","644892","775216","919321","1076530"
"Storage","0","0","0","0","0","0","0","0","0"
"Communication","108698","116865","118608","125767","172510","195436","212331","258682","387207"
"Trade, hotels and restaurants","1504568","1602709","1930563","2203388","2489554","2834990","3120360","3595352","4144804"
"Banking and Insurance","402691","441822","516395","576272","712850","856734","1165589","1476068","1944854"
"Real estate, ownership of dwelling and business","719160","821789","944802","1134640","1283824","1487444","1838371","2146417","2443830"
"Pubic Administration","434238","469334","484710","526859","779062","919725","1059864","1292717","1457440"
"Other Services","977744","1074570","1226639","1381973","1639744","1932261","2376813","2903685","3501703"
"Sub total of tertiary","4609330","5037188","5864067","6662331","7861698","9142817","10810161","12878875","15278817"
"State domestic product","9994001","10961247","12766253","14291673","17550297","20265166","23113905","27690011","32468167"

"Figures are in Rs. Lakh"
