-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "MaharashtraGSDPcurrent_1.csv", 
 "title": "Download CSV for Maharashtra Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/MaharashtraGSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","3442261","3989710","5097125","6471248","5919787","7363095","11518538","10850225"
"Foresty and Logging","912990","1133078","1461594","1417064","1489803","1622641","1898036","3921342"
"Fishing","137409","153596","164167","180134","173666","193973","237423","290606"
"Ag and Allied","4492660","5276384","6722886","8068446","7583257","9179709","13653997","15062173"
"Mining and Quarrying","349088","385203","328608","387255","516823","435286","466420","479771"
"Sub total of primary","4841748","5661587","7051494","8455701","8100080","9614995","14120418","15541944"
"Manufacturing","8547610","11302552","14007920","16234158","16718398","18123952","21145178","23645404"
"Registered","5854467","8194318","10331000","11820850","12074793","13004603","15206011","16989602"
"Unregistered","2693143","3108234","3676920","4413308","4643604","5119349","5939167","6655802"
"Construction","2614277","3020706","3438667","4474347","5251288","6862402","9024348","12154870"
"Electricity, Gas and water Supply","791220","759885","917453","1059847","1122460","1339686","1695180","1991446"
"Sub total of secondary","11953107","15083143","18364040","21768351","23092146","26326039","31864706","37791720"
"Industry","12302195","15468346","18692648","22155606","23608969","26761325","32331126","38271491"
"Transport Storage and Communication","3292887","3650283","4271250","4860662","5647476","7008999","8058130","9752456"
"Railways","285255","292799","344410","390026","452228","604259","611618","705782"
"Transport by other means","2165886","2423867","2920595","3330625","3861228","4361994","5030634","5660568"
"Storage","18845","20214","24316","27878","34531","38700","44941","51126"
"Communication","822901","913403","981929","1112133","1299490","2004047","2370937","3334980"
"Trade, hotels and restaurants","6715578","7613885","9315419","10579277","11273995","13148703","15778020","18086089"
"Banking and Insurance","4742586","5113017","5961153","6953535","8332043","8930589","10946912","12609792"
"Real estate, ownership of dwelling and business","5326179","6259891","7451970","8913471","10630229","11819642","14056903","16718018"
"Pubic Administration","1953560","2143534","2359269","2840131","3595290","4248503","5156335","6266469"
"Other Services","2722325","3151222","3675172","4110531","4725656","5689104","6851259","8078792"
"Sub total of tertiary","24753114","27931832","33034232","38257608","44204689","50845540","60847559","71511615"
"State domestic product","41547969","48676562","58449766","68481660","75396915","86786574","106832683","124845280"

"Figures are in Rs. Lakh"
