-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MaharashtraNSDPconst.csv", 
 "title": "Download CSV for Maharashtra Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MaharashtraNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1934320","1897260","1965957","2296525","1940640","2098108","2284519","2125238","2260236","2213099","2045347","2001717"
"Foresty and Logging","128507","135132","136295","138589","133421","120853","122001","140245","142637","141815","147845","142254"
"Fishing","44088","37401","57748","75051","64152","58787","58553","54932","60270","56061","58514","55534"
"Mining and Quarrying","52959","52365","62769","72979","87423","83585","92054","102602","103671","115500","127561","135105"
"Sub total of primary","2159874","2122158","2222769","2583144","2225636","2361333","2557127","2423017","2566814","2526475","2379267","2334610"
"Manufacturing","2432825","2460477","2894795","2886675","3300917","3066589","3286897","2646233","2605186","2827837","3162558","3466900"
"Registered","1645129","1649852","1983092","1947759","2178312","2089520","2101221","1698043","1564404","1779620","2013963","2205548"
"Unregistered","787696","810625","911703","938916","1122605","977069","1185676","948190","1040782","1048217","1148595","1261352"
"Construction","532175","536224","533713","582655","639456","700367","649804","608274","664197","746627","814801","914778"
"Electricity, Gas and water Supply","205629","228563","263101","276975","298823","312498","279222","271886","252537","284883","302045","325761"
"Sub total of secondary","3170629","3225264","3691609","3746305","4239196","4079454","4215923","3526393","3521920","3859347","4279404","4707439"
"Transport Storage and Communication","669238","759156","867758","924519","1082267","1131430","1210478","1442050","1512843","1753175","2228710","2585337"
"Railways","79192","81727","88149","112288","105782","113818","116665","123830","128486","138345","147946","156872"
"Transport by other means","391356","445732","503009","472794","532918","572253","562969","578144","580304","636339","675923","740874"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","198690","231697","276600","339437","443567","445359","530844","740076","804053","978491","1404841","1687591"
"Trade, hotels and restaurants","1245908","1263023","1514813","1670939","1874898","1804184","1897497","1895924","1964006","2336208","2560659","2931087"
"Banking and Insurance","1433591","1466071","1591516","1292515","1316809","1767598","2221908","2054597","2130759","2236360","2403035","2461775"
"Real estate, ownership of dwelling and business","556665","577399","606634","643114","670892","687529","701189","729592","757277","789615","823136","865256"
"Pubic Administration","335619","351753","378146","400881","465693","445832","607597","569384","584777","606687","621508","688114"
"Other Services","605222","609491","645511","711823","758500","859486","974559","1030293","1293041","1529778","1581837","1665252"
"Sub total of tertiary","4846243","5026893","5604378","5643791","6169059","6696059","7613228","7721840","8242703","9251823","10218885","11196821"
"State domestic product","10176746","10374316","11518757","11973240","12633892","13136846","14386278","13671250","14331437","15637645","16877556","18238870"

"Figures are in Rs. Lakh"
