-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Seventh Lok Sabha from 18th January 1980 to 31st December 1984. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Seventh_Lok_Sabha_From_18th_January_1980_to_31st_December_1984.xls", 
 "title": "Download XLS for Members of Seventh Lok Sabha from 18th January 1980 to 31st December 1984", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Seventh_Lok_Sabha_From_18th_January_1980_to_31st_December_1984.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Seventh Lok Sabha","Kazi Jalil Abbasi","Male","Domariaganj                                                                                         ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri A.K.A. Abdul Samad","Male","Vellore                                                                                             ","Tamil Nadu                                                  ","Congress (I)"
"Seventh Lok Sabha","Dr. Farooq Abdullah","Male","Srinagar                                                                                            ","Jammu and Kashmir                                           ","National Conference"
"Seventh Lok Sabha","Shri Basudeb Acharia","Male","Bankura                                                                                             ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Satish Chandra Agarwal","Male","Jaipur                                                                                              ","Rajasthan                                                   ","Bharatiya Janata Party"
"Seventh Lok Sabha","Shri Ram Prasad Ahirwar","Male","Sagar-SC                                                                                            ","Madhya Pradesh                                              ","Bharatiya Janata Party"
"Seventh Lok Sabha","Shri Mohammad Asrar Ahmad","Male","Budaun                                                                                              ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Begam Abida Ahmed","Female","Bareilly                                                                                            ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Kamaluddin Ahmed","Male","Warangal                                                                                            ","Andhra Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Ajit Bag","Male","Serampore                                                                                           ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Seventh Lok Sabha","Shri Ajit Pratap Singh","Male","Pratapgarh                                                                                          ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Subhash Chandra Bose Alluri","Male","Narasapur                                                                                           ","Andhra Pradesh                                              ","Congress (I)"
"Seventh Lok Sabha","Shri Amarinder Singh","Male","Patiala                                                                                             ","Punjab                                                      ","Congress (I)"
"Seventh Lok Sabha","Shri Anand Singh","Male","Gonda                                                                                               ","Uttar Pradesh                                               ","Congress (I)"
"Seventh Lok Sabha","Shri Era Anbarasu","Male","Chengalpattu                                                                                        ","Tamil Nadu                                                  ","Congress (I)"
"Seventh Lok Sabha","Shri Maganti Ankineedu","Male","Machilipatnam                                                                                       ","Andhra Pradesh                                              ","Congress (I)"
