-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Tenth Lok Sabha from 20th June 1991 to 10th May 1996. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Tenth_Lok_Sabha_From_20th_June_1991_to_10th_May_1996.xls", 
 "title": "Download XLS for Members of Tenth Lok Sabha from 20th June 1991 to 10th May 1996", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Tenth_Lok_Sabha_From_20th_June_1991_to_10th_May_1996.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Tenth Lok Sabha","Shri Basudeb Acharia","Male","Bankura                                                                                             ","West Bengal                                                 ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Lourdusamy Adaikalaraj","Male","Tiruchirappalli                                                                                     ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri Lal Krishna Advani","Male","Gandhinagar                                                                                         ","Gujarat                                                     ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri Rajendra Agnihotri","Male","Jhansi                                                                                              ","Uttar Pradesh                                               ","Bharatiya Janata Party"
"Tenth Lok Sabha","Shri E. Ahamed","Male","Manjeri                                                                                             ","Kerala                                                      ","Muslim League"
"Tenth Lok Sabha","Shri Anand Ahirwar","Male","Sagar-SC                                                                                            ","Madhya Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Shri Kamaluddin Ahmed","Male","Hanamkonda                                                                                          ","Andhra Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Shri Mani Shankar Aiyar","Male","Mayiladuturai                                                                                       ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Smt. Lovely Anand","Female","Vaishali                                                                                            ","Bihar                                                       ","Samata Party"
"Tenth Lok Sabha","Shri Era Anbarasu","Male","Madras Central                                                                                      ","Tamil Nadu                                                  ","Congress (I)"
"Tenth Lok Sabha","Shri T.J. Anjalose","Male","Alleppey                                                                                            ","Kerala                                                      ","Communist Party of India (Marxist)"
"Tenth Lok Sabha","Shri Sai Prathap Annayyagari","Male","Rajampet                                                                                            ","Andhra Pradesh                                              ","Congress (I)"
"Tenth Lok Sabha","Dr.(Prof.) Mumtaz Ansari","Male","Kodarma                                                                                             ","Bihar                                                       ","Janata Dal"
"Tenth Lok Sabha","Shri Frank Anthony","Male","Nominated Anglo-Indian                                                                              ","NA","Nominated"
"Tenth Lok Sabha","Shri Abdul Rehman Antulay","Male","Kulaba                                                                                              ","Maharashtra                                                 ","Congress (I)"
"Tenth Lok Sabha","Shri Basavaraj Patil Anwari","Male","Koppal                                                                                              ","Karnataka                                                   ","Congress (I)"
"Tenth Lok Sabha","Shri   Arjun Singh","Male","Satna                                                                                               ","Madhya Pradesh                                              ","Congress (I)"
