-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Third Lok Sabha from 2nd April 1962 to 3rd March 1967. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls", 
 "title": "Download XLS for Members of Third Lok Sabha from 2nd April 1962 to 3rd March 1967", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Third Lok Sabha","Shri Bakshi Abdur Rashid","Male","NA","Jammu and Kashmir                                           ","Congress"
"Third Lok Sabha","Seth Achal Singh","Male","Agra                                                                                                ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri R. Achuthan","Male","Mavelikara                                                                                          ","Kerala                                                      ","Congress"
"Third Lok Sabha","Shri Ghyasuddin Ahmad","Male","Dhubri                                                                                              ","Assam                                                       ","Congress"
"Third Lok Sabha","Shri Ajit Pratap Singh","Male","Pratapgarh                                                                                          ","Uttar Pradesh                                               ","Jan Sangh"
"Third Lok Sabha","Smt. Akkamma Devi","Male","Nilgiris                                                                                            ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri O.V. Alagesan Mudaliar","Male","Chengleput                                                                                          ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri A. Shanker Alva","Male","Mangalore                                                                                           ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri Joachim Alva","Male","Kanara                                                                                              ","Mysore                                                      ","Congress"
"Third Lok Sabha","Dr. Madhav Shrihari Aney","Male","Nagpur                                                                                              ","Maharashtra                                                 ","Independent"
"Third Lok Sabha","Shri B. Anjanappa","Male","Nellore-SC                                                                                          ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Maganti Ankineedu","Male","Gudiwada                                                                                            ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Frank Anthony","Male","Nominated Anglo-Indian                                                                              ","NA","Independent Parliamentary Group"
"Third Lok Sabha","Dr. Antonio Colaco","Male","NA","Goa, Daman and Diu                                          ","Provincial Congress of Goa"
"Third Lok Sabha","Shri N. Arunachalam","Male","Ramanthapuram                                                                                       ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri Alvares Peter Augustus","Male","Panjim                                                                                              ","Goa, Daman and Diu                                          ","MG"
"Third Lok Sabha","Shri Madabhusi Ananthasayanam Ayyangar","Male","Chittoor                                                                                            ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Bhagwat Jha Azad","Male","Bhagalpur                                                                                           ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Ram Chandra Bade","Male","Khargone                                                                                            ","Madhya Pradesh                                              ","Jan Sangh"
"Third Lok Sabha","Syed Badrudduja","Male","Murshidabad                                                                                         ","West Bengal                                                 ","Independent Democratic Party"
"Third Lok Sabha","Shri Mani Ram Bagri","Male","Hissar                                                                                              ","Punjab                                                      ","Socialist"
"Third Lok Sabha","Shri Kamalnayan Jamnalal Bajaj","Male","Wardha                                                                                              ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Mohan Lal Bakliwal","Male","Durg                                                                                                ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Dalta Balaramaraju","Male","Narasapur                                                                                           ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri S.C. Balkrishnan","Male","Koilpatti-SC                                                                                        ","Madras                                                      ","Congress"
"Third Lok Sabha","Shri Kanhaiya Lal Balmiki","Male","Khurja-SC                                                                                           ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri S.M. Banerjee","Male","Kanpur                                                                                              ","Uttar Pradesh                                               ","Independent"
"Third Lok Sabha","Dr. Ramgati Banerji","Male","Bankura                                                                                             ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Hirabhai Kunverbhai Baria","Male","Dohad-ST                                                                                            ","Gujarat                                                     ","Swatantra Party"
"Third Lok Sabha","Smt. Renuka Devi Barkataki","Female","Barpeta                                                                                             ","Assam                                                       ","Congress"
"Third Lok Sabha","Shri P.C. Barman","Male","Cooch Behar-SC                                                                                      ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri A.E.T. Barrow","Male","Nominated Anglo-Indian                                                                              ","NA","Independent"
"Third Lok Sabha","Shri Rajendranath Barua","Male","Jorhat                                                                                              ","Assam                                                       ","Praja Socialist Party (PSP)"
"Third Lok Sabha","Shri Pannalal Barupal","Male","Ganganagar-SC                                                                                       ","Rajasthan                                                   ","Congress"
"Third Lok Sabha","Shri C.R. Basappa","Male","Tiptur                                                                                              ","Mysore                                                      ","Congress"
"Third Lok Sabha","Shri Gurugovinda Basu","Male","Burdwan                                                                                             ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Dharanidhor Basumatari","Male","Goalpara-ST                                                                                         ","Assam                                                       ","Congress"
"Third Lok Sabha","Shri Sonubhau Dagadu Baswant","Male","Thane                                                                                               ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Onkarlal Berwa","Male","Kota                                                                                                ","Rajasthan                                                   ","Jan Sangh"
"Third Lok Sabha","Shri Satya Chandra Besra","Male","Dumka-ST                                                                                            ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Bali Ram Bhagat","Male","Shahabad                                                                                            ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Bijoy Chandra Bhagavati","Male","Darrang                                                                                             ","Assam                                                       ","Congress"
"Third Lok Sabha","Shri Bhakt Darshan","Male","Garhwal                                                                                             ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","H.H.Maharaja Bhanu Prakash Singh (Narsinghgarh)","Male","Raigarh-ST                                                                                          ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Pandit Mukut Bihari Lal Bhargava","Male","Ajmer                                                                                               ","Rajasthan                                                   ","Congress"
"Third Lok Sabha","Shri Laxmanrao Shrawanji Bhatkar","Male","Khamgaon-SC                                                                                         ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Dinendra Nath Bhattacharya","Male","Serampore                                                                                           ","West Bengal                                                 ","Communist Party"
"Third Lok Sabha","Shri C.K. Bhattacharyya","Male","Raiganj                                                                                             ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri P.H.D. Bheel","Male","Dohad-ST                                                                                            ","Gujarat                                                     ","Swatantra Party"
"Third Lok Sabha","Shri Bibhuti Mishra","Male","Motihari                                                                                            ","Bihar                                                       ","Congress"
"Third Lok Sabha","Major Raja Bahadur Birendra Bahadur Singh","Male","Rajnandgaon                                                                                         ","Madhya Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Jang Bahadur Singh Bisht","Male","Almora                                                                                              ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Rajagopala Rao Boddiapalli","Male","Srikakulam                                                                                          ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Shri Prafulla Chandra Borooah","Male","Sibsagar                                                                                            ","Assam                                                       ","Congress"
"Third Lok Sabha","Chowdhury Brahm Perkash","Male","Outer Delhi-SC                                                                                      ","Delhi                                                       ","Congress"
"Third Lok Sabha","Shri Brajeshwar Prasad","Male","Gaya-SC                                                                                             ","Bihar                                                       ","Congress"
"Third Lok Sabha","Shri Brij Basi Lal","Male","Faizabad                                                                                            ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Brijraj Singh","Male","Jhalawar                                                                                            ","Rajasthan                                                   ","Congress"
