-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "MizoramGSDPcurrent.csv", 
 "title": "Download CSV for Mizoram Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MizoramGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","17269","19882","21331","27179","28318","31270","28153","44914","43945","46027"
"Foresty and Logging","2661","1100","4185","1803","1301","1588","1498","1672","1700","2029"
"Fishing","1152","922","1152","1435","1521","1577","1628","1781","2585","2595"
"Mining and Quarrying","143","234","295","334","558","270","785","246","469","230"
"Sub total of primary","21225","22138","26963","30751","31698","34705","32064","48613","48699","50881"
"Manufacturing","2088","2594","3215","3650","2386","2208","2438","2534","2577","2692"
"Manu-Registered","783","756","717","740","810","511","628","650","686","694"
"Manu-Unregistered","1305","1838","2498","2910","1576","1697","1810","1884","1891","1998"
"Construction","4597","7680","9725","11688","11354","12460","15394","14207","20103","24855"
"Electricity, Gas and water Supply","4743","1234","1506","1583","1226","2341","3754","160","1898","6022"
"Sub total of secondary","11428","11508","14446","16921","14966","17009","21586","16901","24578","33569"
"Transport Storage and Communication","1620","1803","2276","2724","3156","3259","3641","5036","5502","6425"
"Railways","2","2","2","3","4","3","8","5","8","14"
"Transport by other means","1440","1592","2000","2419","2782","2878","3253","4395","4607","5274"
"Storage","2","3","3","4","4","4","4","5","0","5"
"Communication","176","206","271","298","366","374","376","631","887","1132"
"Trade, hotels and restaurants","10342","9868","14029","14619","15998","15553","13866","20626","18826","19229"
"Banking and Insurance","785","849","1042","1284","1497","1849","2075","3103","3784","5744"
"Real estate, ownership of dwelling and business","7407","8234","9345","10663","12387","15176","19209","23911","26962","30867"
"Pubic Administration","10743","11866","14290","17065","18699","19575","25879","33288","37111","45468"
"Other Services","7596","7611","11263","13207","13916","17464","22619","25394","26955","27130"
"Sub total of tertiary","38493","40231","52245","59562","65653","72876","87289","111358","119140","134863"
"State domestic product","71146","73877","93654","107234","112317","124590","140939","176872","192417","219313"

"Figures are in Rs. Lakh"
