-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MizoramNSDPcurrent.csv", 
 "title": "Download CSV for Mizoram Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MizoramNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","17140","19736","21166","26979","28117","31042","27864","44605","43627","45662"
"Foresty and Logging","2296","685","3705","1245","688","910","771","901","876","1179"
"Fishing","1028","773","974","1232","1295","1398","1319","1578","2269","2247"
"Mining and Quarrying","77","161","208","239","458","129","674","199","370","152"
"Sub total of primary","20541","21355","26053","29695","30558","33479","30628","47283","47142","49240"
"Manufacturing","1693","2124","2691","3091","1622","1405","1574","1730","1715","1745"
"Manu-Registered","680","616","579","622","668","376","481","650","686","694"
"Manu-Unregistered","1013","1508","2112","2469","954","1029","1093","1080","1029","1051"
"Construction","4385","7334","9298","11168","10859","11958","14856","13558","19319","23985"
"Electricity, Gas and water Supply","-238","-376","-344","-519","-1100","-259","910","-2892","-1443","2458"
"Sub total of secondary","5840","9082","11645","13740","11381","13104","17340","12396","19591","28188"
"Transport Storage and Communication","700","735","1012","1288","1555","1521","1768","2889","3329","4296"
"Railways","1","1","1","0","0","0","5","-1","2","13"
"Transport by other means","572","598","854","1124","1350","1340","1607","2563","2761","3406"
"Storage","2","3","3","4","4","4","4","5","0","5"
"Communication","125","133","154","160","201","177","152","322","566","872"
"Trade, hotels and restaurants","10180","9678","13806","14365","15701","15253","13532","20258","18424","18810"
"Banking and Insurance","654","721","916","1131","1319","1684","1902","2913","3574","5521"
"Real estate, ownership of dwelling and business","7006","7788","8836","10111","11762","14437","18389","23003","25922","29745"
"Pubic Administration","9410","10342","12498","14933","16242","17175","22899","29610","33167","40245"
"Other Services","7478","7477","11108","13030","13721","17243","22360","25109","26581","26704"
"Sub total of tertiary","35428","36741","48176","54858","60300","67313","80850","103782","110997","125321"
"State domestic product","61809","67178","85874","98293","102239","113896","128818","163461","177730","202749"

"Figures are in Rs. Lakh"
