-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "NagalandGSDPcurrent_2.csv", 
 "title": "Download CSV for Nagaland Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/NagalandGSDPcurrent_2.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","26903","33642","32707","38873","50625","56225","61140","94717","116678","136231"
"Foresty and Logging","6114","7222","7344","8554","7732","8208","9334","10675","11223","11380"
"Fishing","496","684","975","1417","1593","1897","2278","2318","2469","2590"
"Mining and Quarrying","0","0","0","0","0","0","49","134","270","363"
"Sub total of primary","33513","41548","41026","48844","59950","66330","72801","107844","130640","150564"
"Manufacturing","4517","5623","10154","12819","14123","6402","3362","3933","4849","4921"
"Manu-Registered","1186","1484","5025","6995","3503","1114","909","1412","2627","2392"
"Manu-Unregistered","3331","4139","5129","5824","10620","5288","2453","2521","2222","2529"
"Construction","11152","13377","19635","22131","29924","26424","26429","54976","42954","53296"
"Electricity, Gas and water Supply","3488","3770","5163","5337","5512","7087","4457","1158","2327","2423"
"Sub total of secondary","19157","22770","34952","40287","49559","39913","34248","60067","50130","60640"
"Transport Storage and Communication","22471","25578","26369","28984","29789","33299","33988","66259","78980","88951"
"Railways","40","43","52","56","68","85","91","64","98","123"
"Transport by other means","22086","25129","25779","28338","29000","32482","33164","64973","77177","86614"
"Storage","17","22","30","31","33","31","34","40","43","29"
"Communication","328","384","508","559","688","701","699","1182","1662","2185"
"Trade, hotels and restaurants","7813","8537","9815","11570","13102","13062","14412","18605","23919","25596"
"Banking and Insurance","1761","1798","1951","2641","2649","2960","3037","4763","5757","6236"
"Real estate, ownership of dwelling and business","16077","18200","20289","21965","24198","25904","28537","32889","37398","44622"
"Pubic Administration","26035","26898","29819","30986","34592","37487","43676","50440","56129","63594"
"Other Services","10636","14269","17155","17133","18544","19568","24014","27069","30735","34657"
"Sub total of tertiary","84793","95280","105398","113279","122874","132280","147664","200025","232918","263656"
"State domestic product","137463","159598","181376","202410","232383","238523","254713","367936","413688","474860"

"Figures are in Rs. Lakh"
