-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "NagalandNSDPconst.csv", 
 "title": "Download CSV for Nagaland Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/NagalandNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","26101","29539","26575","29772","37809","40053","45529","67606","79496","90678"
"Foresty and Logging","5790","6211","6142","6979","5416","5559","6027","6307","6565","6550"
"Fishing","442","485","637","891","908","1077","1188","1145","1262","1309"
"Mining and Quarrying","0","0","0","0","0","0","34","89","174","243"
"Sub total of primary","32333","36235","33354","37642","44133","46689","52778","75147","87497","98780"
"Manufacturing","3757","4531","8065","9813","9988","3448","1249","1456","1885","1715"
"Manu-Registered","840","1079","4097","5598","2438","462","394","672","1355","1134"
"Manu-Unregistered","2917","3452","3968","4215","7550","2986","855","784","530","581"
"Construction","10136","11203","15451","16628","21462","17630","16589","32303","24218","28469"
"Electricity, Gas and water Supply","1421","1368","2514","2480","2300","2311","66","-2208","-1662","-1798"
"Sub total of secondary","15314","17102","26030","28921","33750","23389","17904","31551","24441","28386"
"Transport Storage and Communication","20673","21226","21337","21894","21921","22369","22152","38362","42107","47137"
"Railways","13","14","21","17","4","15","59","43","7","24"
"Transport by other means","20410","20991","21040","21585","21576","22091","21884","37932","41462","46163"
"Storage","16","16","23","24","24","20","23","23","23","15"
"Communication","234","205","253","268","317","243","186","364","615","935"
"Trade, hotels and restaurants","7716","7744","8185","9069","9671","8995","9113","11308","13984","14190"
"Banking and Insurance","1693","1704","1664","2124","2114","2205","1796","2761","3194","3276"
"Real estate, ownership of dwelling and business","15544","16780","18043","18797","19719","19465","19831","21609","22672","24166"
"Pubic Administration","22724","22595","23337","23860","24511","24622","24575","27017","29027","31616"
"Other Services","9083","11404","12519","12397","12587","12746","13253","15287","15611","16597"
"Sub total of tertiary","77433","81453","85085","88141","90523","90402","90720","116344","126595","136982"
"State domestic product","125080","134790","144469","154704","168406","160480","161402","223042","238533","264148"

"Figures are in Rs. Lakh"
