-----
{
 "description": "The table refers to statewise distribution of dugwells according to ownership. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.2.csv", 
 "title": "Download CSV for State wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation census", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.2.csv"
}
-----
"State","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDHRA PRADESH",2292,1908,347,120078,1091029,758,1216412
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA,NA
"ASSAM",0,0,0,0,38,0,38
"BIHAR",17699,795,976,1647,369418,663,391198
"GOA",49,22,0,109,3782,13,3975
"GUJARAT",NA,NA,NA,NA,NA,NA,NA
"HARYANA",95,38,270,15633,10371,33,26440
"HIMACHAL PRADESH",170,3,0,276,1271,2,1722
"JAMMU & KASHMIR",652,109,18,543,79,24,1425
"KARNATAKA",456,89,22,1071,319782,439,321859
"KERALA",365,23,231,106,125894,76,126695
"MADHYA PRADESH",18276,1316,1691,152030,951784,1342,1126439
"MAHARASHTRA",NA,NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA",2,0,0,0,0,0,2
"MIZORAM",1,0,0,0,489,0,490
"NAGALAND",0,0,0,1,528,1,530
"ORISSA",1172,113,128,346,321297,41,323097
"PUNJAB",21,3,15,74,11556,2,11671
"RAJASTHAN",27186,749,2027,688477,321859,2779,1043077
"SIKKIM",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU",2233,1023,2848,185360,1076524,41800,1309788
"TRIPURA",83,9,15,3,694,1,805
"UTTAR PRADESH",130,12,505,21649,113975,53,136324
"WEST BENGAL",4205,171,3057,2414,44851,1285,55983
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",0,7,7,1,398,0,413
"DAMAN & DIU",NA,NA,NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY",2,0,0,0,220,0,222
"ALL INDIA",75089,6390,12157,1189818,4765839,49312,6098605
