-----
{
 "description": "The table refers to statewise dugwells according to water distribution system. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.8.csv", 
 "title": "Download CSV for State wise Dugwells according to water distribution system for 2nd census of minor irrigation census", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.8.csv"
}
-----
"State","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH",6829,5340,1116106,41769,46368,1216412
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA
"ASSAM",0,0,36,0,2,38
"BIHAR",5745,2559,342930,5728,34236,391198
"GOA",462,73,2338,196,906,3975
"GUJARAT",NA,NA,NA,NA,NA,NA
"HARYANA",6158,762,15978,2910,632,26440
"HIMACHAL PRADESH",6,3,1610,45,58,1722
"JAMMU & KASHMIR",0,0,322,11,1092,1425
"KARNATAKA",20537,4256,224764,19577,52725,321859
"KERALA",1332,1683,66691,16742,40247,126695
"MADHYA PRADESH",40858,6303,863215,151860,64203,1126439
"MAHARASHTRA",NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA
"MEGHALAYA",0,0,2,0,0,2
"MIZORAM",0,194,181,7,108,490
"NAGALAND",0,0,0,3,527,530
"ORISSA",1860,570,257147,1102,62418,323097
"PUNJAB",158,204,11271,23,15,11671
"RAJASTHAN",149136,12921,715914,20097,145009,1043077
"SIKKIM",NA,NA,NA,NA,NA,NA
"TAMIL NADU",74121,12565,1116153,31852,75097,1309788
"TRIPURA",26,0,436,16,327,805
"UTTAR PRADESH",5404,1459,115456,950,13055,136324
"WEST BENGAL",2594,641,46100,724,5924,55983
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",0,19,353,36,5,413
"DAMAN & DIU",NA,NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA
"PONDICHERRY",7,9,196,10,0,222
"ALL INDIA",315233,49561,4897199,293658,542954,6098605
