-----
{
 "description": "The table refers to statewise distribution of dugwells according to water lifting device. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.9.csv", 
 "title": "Download CSV for State wise Dugwells according to water lifting device for 2nd census of minor irrigation Schemes", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.9.csv"
}
-----
"State","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Man/Animal operated","Others","Total"
"ANDHRA PRADESH",980492,130834,2053,310,95001,7722,1216412
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA,NA
"ASSAM",0,28,0,0,9,1,38
"BIHAR",17660,148265,827,379,210208,13859,391198
"GOA",2399,275,3,1,1254,43,3975
"GUJARAT",NA,NA,NA,NA,NA,NA,NA
"HARYANA",19697,6448,116,26,64,89,26440
"HIMACHAL PRADESH",1086,324,2,1,305,4,1722
"JAMMU & KASHMIR",283,87,0,0,1046,9,1425
"KARNATAKA",265105,24597,1817,506,10181,19653,321859
"KERALA",79405,14784,73,108,28840,3485,126695
"MADHYA PRADESH",920448,90560,3501,353,106607,4970,1126439
"MAHARASHTRA",NA,NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA",0,0,0,0,2,0,2
"MIZORAM",0,0,0,0,490,0,490
"NAGALAND",15,176,0,0,1,338,530
"ORISSA",15911,14159,292,193,287205,5337,323097
"PUNJAB",7001,3976,269,9,339,77,11671
"RAJASTHAN",401688,421754,3047,956,132432,83200,1043077
"SIKKIM",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU",877022,241872,10551,1343,161995,17005,1309788
"TRIPURA",3,14,0,0,717,71,805
"UTTAR PRADESH",10772,112013,479,486,10474,2100,136324
"WEST BENGAL",1086,15642,207,38,33008,6002,55983
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",180,233,0,0,0,0,413
"DAMAN & DIU",NA,NA,NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA,NA
"PONDICHERRY",215,4,0,0,0,3,222
"ALL INDIA",3600468,1226045,23237,4709,1080178,163968,6098605
