-----
{
 "description": "The table refers to state wise distribution of surface lift schemes according to source of finance. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Natsrfclfttab5.7_1.csv", 
 "title": "Download CSV for Statewise Distribution of surface lift schemes according to finance sources for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Natsrfclfttab5.7_1.csv"
}
-----
State,Government fund,Farmers saving,Loan & Saving,Subsidy & Bank Loan,Subsidy Only,Others,Total
ANDHRA PRADESH,12766,2171,2092,1289,215,217,18750
ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA
ASSAM,19,1013,145,1884,5261,2,8324
BIHAR,1467,1555,145,1563,1366,129,6225
GOA,137,379,115,61,0,11,703
GUJARAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,16,163,2,0,1,0,182
HIMACHAL PRADESH,51,28,18,42,8,7,154
JAMMU & KASHMIR,0,14,0,310,0,27,351
KARNATAKA,9454,13037,6144,2028,667,540,31870
KERALA,489,5949,2062,1712,406,226,10844
MADHYA PRADESH,74311,59198,12515,23573,2892,5894,178383
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,0,0,0,0,0
MEGHALAYA,1,1,1,0,0,0,3
MIZORAM,0,0,1,8,0,0,9
NAGALAND,0,0,0,0,19,0,19
ORISSA,2343,7588,1300,1032,403,236,12902
PUNJAB,138,598,15,2,0,0,753
RAJASTHAN,94,68,41,7,0,0,210
SIKKIM,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,9325,635,368,49,353,681,11411
TRIPURA,267,14,124,9,4,0,418
UTTAR PRADESH,1572,645,345,308,34,50,2954
WEST BENGAL,4721,62430,2970,2143,856,7358,80478
ANDAMAN & NICOBARS,57,148,7,5,8,982,1207
CHANDIGARH,NA,NA,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,7,5,14,1,6,0,33
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA
DELHI,NA,NA,NA,NA,NA,NA,NA
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,370,0,36,0,0,0,406
ALL INDIA,117605,155639,28460,36026,12499,16360,366589
