-----
{
 "description": "Data covers institution-wise and year-wise Institutional Finance (IF) - Export Import Bank of India (EXIM) and India Infrastructure Finance Company Limited (IIFCL).", 
 "file_name": "Performance_of_EXIM_Bank_and_IIFCL.xls", 
 "title": "Download XLS for Institution-wise Snapshot Performance upto 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Performance_of_EXIM_Bank_and_IIFCL.xls"
}
-----
"Description ","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013"
"Loan Sanctioned",32805.0,33629.0,38843.0,47798.0,44412.0,40960.0
"Loan disbursed",27159.0,28932.0,33249.0,34423.0,37045.0,40635.0
"Total Resources",37301.0,44202.0,47072.0,54751.0,63673.0,76118.1732336
"Financial Performance","","","","","",""
"Profit Before Tax",533.4,610.1,772.4,867.7,1012.6,1088.76
"Profit After Tax",333.0,477.4,513.5,583.6,675.1,742.32
"Ratios","","","","","",""
"Capital to Risk Asset Ratio (%)",15.13,16.77,18.99,17.04,16.44,15.28
"PBT to Capital (%)",50.8,48.8,49.8,46.9,47.1,40.6301145777
"PBT to Average Assets (%)",1.7,1.5,1.7,1.7,1.7,1.56
