-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "PondicherryGSDPcurrent.csv", 
 "title": "Download CSV for Puducherry Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/PondicherryGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","8643","12792","12025","11463","10123","12746","15755","15195","14318","16042","16115","13770","14975"
"Foresty and Logging","866","916","952","1002","1052","1217","1275","1326","1355","1426","1474","1524","1575"
"Fishing","6560","5838","6125","5729","6429","7230","7425","7746","7895","8298","8575","6646","7325"
"Mining and Quarrying","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sub total of primary","16069","19546","19102","18194","17604","21193","24455","24267","23568","25766","26164","21940","23875"
"Manufacturing","28054","30480","33403","71900","120097","131072","127223","168419","198618","230258","270762","311115","342319"
"Registered","22722","22434","24173","56381","102470","111574","105199","143317","171919","200728","240664","279143","308364"
"Unregistered","5332","8046","9230","15519","17627","19498","22024","25102","26699","29530","30098","31972","33955"
"Construction","4914","5932","7190","8533","10820","14647","13368","20364","22196","28718","31269","34074","37122"
"Electricity, Gas and water Supply","734","885","1699","1662","884","497","-301","1160","-7412","2919","4624","7331","11618"
"Sub total of secondary","33702","37297","42292","82095","131801","146216","140290","189943","213402","261895","306655","352520","391059"
"Transport Storage and Communication","2577","3156","4040","5132","7573","8651","9882","11154","14327","17339","19549","23042","27323"
"Railways","17","28","38","22","25","32","36","27","26","32","33","34","35"
"Transport by other means","2055","2473","3205","4190","6462","7290","8441","9551","10475","12670","12955","14416","16037"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","505","655","797","920","1086","1329","1405","1576","3826","4637","6561","8592","11251"
"Trade, hotels and restaurants","14231","17812","23856","34217","40036","50055","52795","57511","54469","72459","80402","89287","99134"
"Banking and Insurance","4286","4474","6589","7191","8479","9694","9139","10952","11391","14618","16745","19291","22224"
"Real estate, ownership of dwelling and business","11131","12879","15484","18936","23525","26417","32203","38997","52365","60455","69755","80548","92992"
"Pubic Administration","5836","6052","7406","8776","11056","14095","16464","16806","19188","16119","17875","18247","18626"
"Other Services","10296","11487","13276","16117","22420","21882","26693","28435","30100","34475","37487","40794","44384"
"Sub total of tertiary","48357","55860","70651","90369","113089","130794","147176","163855","181840","215465","241813","271209","304683"
"State domestic product","98127","112702","132046","190658","262494","298202","311921","378064","418809","503125","574632","645668","719617"

"Figures are in Rs. Lakh"
