-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "PondicherryNSDPcurrent.csv", 
 "title": "Download CSV for Puducherry Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/PondicherryNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","8048","12144","11300","10663","9266","11709","14641","14022","13045","14637","14597","12130","13203"
"Foresty and Logging","845","892","924","969","1015","1175","1229","1274","1302","1377","1424","1473","1523"
"Fishing","5903","5162","5403","4932","5543","6138","6648","6920","7000","7288","7473","5443","6012"
"Mining and Quarrying","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sub total of primary","14796","18198","17627","16564","15824","19022","22518","22216","21347","23302","23494","19046","20738"
"Manufacturing","21637","22908","20480","61673","107286","117664","112117","152021","176851","206715","242543","277288","301764"
"Registered","16428","15011","11446","46384","89913","98451","90391","127244","150504","177571","212868","245780","268318"
"Unregistered","5209","7897","9034","15289","17373","19213","21726","24777","26347","29144","29675","31508","33446"
"Construction","4685","5657","6826","8124","10329","14061","12739","19575","21319","27706","30084","32686","35496"
"Electricity, Gas and water Supply","-1665","-1903","-1508","-2008","-3206","-4439","-5670","-4602","-13720","-3810","-2631","-491","3185"
"Sub total of secondary","24657","26662","25798","67789","114409","127286","119186","166994","184450","230611","269996","309483","340445"
"Transport Storage and Communication","1264","1599","2201","3046","5291","6115","7174","8095","11191","13696","15807","18862","22560"
"Railways","6","11","18","0","1","18","21","13","15","17","15","17","17"
"Transport by other means","945","1167","1672","2467","4600","5257","6304","7168","8074","10244","10516","11965","13573"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","313","421","511","579","690","840","849","914","3102","3435","5276","6880","8970"
"Trade, hotels and restaurants","13071","16397","22113","32279","37952","47848","50452","54927","51647","69516","77227","85861","95437"
"Banking and Insurance","4149","4294","6344","6893","8134","9311","8713","10487","10848","14040","16108","18589","21450"
"Real estate, ownership of dwelling and business","10062","11695","14077","17389","21867","24457","30028","36589","49607","57479","66451","76880","88920"
"Pubic Administration","4997","5105","6340","7526","9638","12615","14818","13233","15357","14261","15940","16233","16529"
"Other Services","9928","11047","12873","15581","21859","21123","25778","27500","28938","33039","35845","38917","42238"
"Sub total of tertiary","43471","50137","63948","82714","104741","121469","136963","150831","167588","202031","227378","255342","287134"
"State domestic product","82923","94996","107374","167067","234974","267776","278667","340040","373384","455943","520868","583870","648317"

"Figures are in Rs. Lakh"
