-----
{
 "description": "Wholesale price index comprises as far as possible all transactions at first point of bulk sale in the domestic market. Provisional monthly WPI for All Commodities is released on 14th of every month (next working day, if 14th is holiday). Detailed item level WPI is put on official website ...", 
 "file_name": "Wholesale_Price_Index_Base_2004-05_Upto_June_2013.xls", 
 "title": "Download XLS for Wholesale Price Index: Base 2004-05 - Upto June 2013", 
 "url": "http://data.gov.in/sites/default/files/Wholesale_Price_Index_Base_2004-05_Upto_June_2013.xls"
}
-----
-----
{
 "description": "This table consists of product wise, group wise and year wise production of major chemicals products during 2006-07 to 2012-13 in India. Production figures have been aggregated based on Monthly Production returns received directly by the Department of Chemicals and Petrochemicals from the ...", 
 "file_name": "Production_of_Major_Chemicals_ProductWise_2006-07_to_2012-13.xls", 
 "title": "Download XLS for Production of Major Chemicals - Product-wise / Group-wise From 2006-07 To 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Production_of_Major_Chemicals_ProductWise_2006-07_to_2012-13.xls"
}
-----
"Major Groups","Products","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13","","","",""
"ALKALI CHEMICALS","SODA ASH",2078.057,2005.509,1989.045,2058.335,2298.755,2410.819,2437.792,"","","",""
"ALKALI CHEMICALS","CAUSTIC SODA",1914.217,2050.689,2050.03,2103.752,2178.45,2215.659,2161.662,"","","",""
"ALKALI CHEMICALS","LIQUID CHLORINE",1276.713,1387.126,1402.845,1439.916,1503.994,1486.102,1481.172,"","","",""
"INORGANIC CHEMICALS","ALUMINIUM FLOURIDE",20.303,19.434,15.069,11.551,9.795,7.307,6.703,"","","",""
"INORGANIC CHEMICALS","CALCIUM CARBIDE",91.951,97.414,66.551,22.022,44.7,66.386,70.98,"","","",""
"INORGANIC CHEMICALS","CARBON BLACK",422.472,426.964,371.398,419.433,452.444,447.67,404.021,"","","",""
"INORGANIC CHEMICALS","POTASSIUM CHLORATE",4.127,5.356,5.79,2.601,0.614,0.344,0.588,"","","",""
"INORGANIC CHEMICALS","TITANIUM DIOXIDE",62.921,59.148,53.276,61.324,64.018,52.138,50.142,"","","",""
"INORGANIC CHEMICALS","RED PHOSPHORUS",0.535,0.542,0.461,0.58,0.481,0.56,0.691,"","","",""
"ORGANIC CHEMICALS","ACETIC ACID",297.478,341.813,214.038,146.439,156.476,160.726,160.561,"","","",""
