-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "PunjabGSDPcurrent.csv", 
 "title": "Download CSV for Punjab Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/PunjabGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1385362","1526314","1650262","1928329","2025955","2219605","2491375","2663862","2768228","2682373","2950448","3175940"
"Foresty and Logging","3971","6627","6552","8021","10906","11138","25237","21001","27063","25571","6388","7065"
"Fishing","5741","6769","7851","10269","11794","15945","16904","18632","20791","24535","29973","35143"
"Mining and Quarrying","423","354","454","456","719","646","544","418","1325","3182","3458","3609"
"Sub total of primary","1395497","1540064","1665119","1947075","2049374","2247334","2534060","2703913","2817407","2735661","2990267","3221757"
"Manufacturing","454512","529037","608492","673303","732655","839101","899868","961468","959745","1031031","1042698","1081208"
"Registered","317253","365138","402312","442560","482100","563517","608642","647331","612879","679535","679656","699978"
"Unregistered","137259","163899","206180","230743","250555","275584","291226","314137","346866","351496","363042","381230"
"Construction","126752","140458","185740","188408","259492","328994","281308","315413","367692","406812","481538","554635"
"Electricity, Gas and water Supply","77042","102816","136743","140473","140161","220092","235300","281954","330749","331230","408992","464819"
"Sub total of secondary","658306","772311","930975","1002184","1132308","1388187","1416476","1558835","1658186","1769073","1933228","2100662"
"Transport Storage and Communication","100287","118825","149861","173865","208287","254432","284177","276317","333168","373539","439033","491102"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","100287","118825","149861","173865","208287","254432","284177","276317","333168","373539","439033","491102"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","365762","412825","446788","501964","552389","604021","669486","769164","857295","913235","1020136","1121027"
"Banking and Insurance","96341","115370","147910","200524","236768","224913","270705","293437","326885","387605","438542","508095"
"Real estate, ownership of dwelling and business","150603","175944","187373","196962","204766","215629","228269","238996","312463","340073","371399","404936"
"Pubic Administration","122616","131025","149774","180791","220126","287571","312893","322857","340933","385706","451381","505186"
"Other Services","135402","155398","183686","216403","266401","351482","390717","437454","445314","464458","470696","482369"
"Sub total of tertiary","971011","1109387","1265392","1470509","1688737","1938048","2156247","2338225","2616058","2864616","3191187","3512715"
"State domestic product","3024814","3421762","3861486","4419768","4870419","5573569","6106783","6600973","7091591","7369350","8114682","8835134"

"Figures are in Rs. Lakh"
