-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "RajasthanNSDPcurrent_1.csv", 
 "title": "Download CSV for Rajasthan Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/RajasthanNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-2007","2007-2008","2008-09","2009-10","2010-11","2011-12"
"Agriculture","2574105","2671810","3248772","3919650","4420286","4622201","7370210","9755800"
"Foresty and Logging","466457","526449","648553","628792","745253","936568","1105015","1430599"
"Fishing","7474","8547","11144","12492","13407","16430","22034","28136"
"Ag and Allied","3048036","3206806","3908469","4560934","5178946","5575199","8497259","11214535"
"Mining and Quarrying","226562","229345","310110","388250","430244","528768","1060070","1350044"
"Sub total of primary","3274598","3436151","4218579","4949184","5609190","6103966","9557329","12564579"
"Manufacturing","1269814","1470160","2008206","2146276","2489271","2939296","3462509","4194858"
"Registered","591623","730496","1132933","1125292","1404927","1771513","2088022","2530473"
"Unregistered","678190","739664","875273","1020984","1084344","1167783","1374487","1664386"
"Construction","1491553","1757040","2089176","2259766","2617737","2667315","2838465","3092728"
"Electricity, Gas and water Supply","217195","211785","210247","211151","416521","636381","697265","764032"
"Sub total of secondary","2978561","3438986","4307629","4617194","5523530","6242991","6998239","8051618"
"Industry","3205123","3668331","4617739","5005443","5953773","6771759","8058309","9401662"
"Transport Storage and Communication","576459","656877","763275","864466","983969","1233263","1428193","1699162"
"Railways","82644","88064","106971","125185","140667","213981","221376","257925"
"Transport by other means","329596","382275","456577","520315","609625","751459","903566","1095287"
"Storage","4339","7241","8187","5983","6372","8601","10035","11932"
"Communication","159881","179296","191540","212983","227306","259222","293216","334018"
"Trade, hotels and restaurants","1683175","1921305","2312681","2693998","3052133","3434491","4575186","5538240"
"Banking and Insurance","424978","464821","572505","653542","808019","892114","1157392","1369542"
"Real estate, ownership of dwelling and business","903428","994989","1109560","1336411","1588175","1856291","2217536","2640984"
"Pubic Administration","418961","467863","515573","547285","844311","986174","1158091","1281771"
"Other Services","1003411","1152339","1342983","1562886","1984533","2627374","3042588","3645570"
"Sub total of tertiary","5010413","5658194","6616578","7658587","9261140","11029706","13578987","16175269"
"State domestic product","11263572","12533331","15142786","17224965","20393860","23376664","30134555","36791466"

"Figures are in Rs. Lakh"
