-----
{
 "description": "The table refers to district wise distribution of dugwells according to average length of water conveyance channel. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.12.csv", 
 "title": "Download CSV for District wise Dugwells Average length of water conveyance channel for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.12.csv"
}
-----
"State","District","Total Number of Schemes","Average length of channels - Pucca","Average length of channels - Kuccha","Average length of channels - Underground"
"ANDHRA PRADESH","ADILABAD",25419,1,39,4
"ANDHRA PRADESH","ANANTHAPUR",55580,6,39,5
"ANDHRA PRADESH","CHITTOOR",121692,1,57,6
"ANDHRA PRADESH","CUDDAPAH",40916,7,67,2
"ANDHRA PRADESH","EAST GODAVARI",2085,1,38,0
"ANDHRA PRADESH","GUNTUR",12146,5,61,1
"ANDHRA PRADESH","HYDERABAD",90,9,97,1
"ANDHRA PRADESH","KARIMNAGAR",198565,0,28,5
"ANDHRA PRADESH","KHAMMAM",34365,0,34,2
"ANDHRA PRADESH","KRISHNA",15556,8,111,1
"ANDHRA PRADESH","KURNOOL",34729,10,58,17
"ANDHRA PRADESH","MAHABOOB NAGAR",101618,1,37,5
"ANDHRA PRADESH","MEDAK",65397,1,40,7
"ANDHRA PRADESH","NALGONDA",112667,0,18,7
"ANDHRA PRADESH","NELLORE",32328,5,72,5
"ANDHRA PRADESH","NIZAMABAD",32594,2,58,14
"ANDHRA PRADESH","PRAKASAM",28374,6,75,1
"ANDHRA PRADESH","RANGA REDDY",34535,2,41,5
"ANDHRA PRADESH","SRIKAKULUM",35079,0,14,0
"ANDHRA PRADESH","VIJAYA NAGARAM",35152,0,22,1
"ANDHRA PRADESH","VISAKHAPATNAM",25643,0,36,0
"ANDHRA PRADESH","WARANGAL",156560,1,44,4
"ANDHRA PRADESH","WEST GODAVARI",15322,5,175,2
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA
