-----
{
 "description": "The table refers to district wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.2.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDHRA PRADESH","ADILABAD",2,2,0,971,24444,0,25419
"ANDHRA PRADESH","ANANTHAPUR",119,79,28,7613,47704,37,55580
"ANDHRA PRADESH","CHITTOOR",0,0,0,23157,98535,0,121692
"ANDHRA PRADESH","CUDDAPAH",90,11,4,13228,27571,12,40916
"ANDHRA PRADESH","EAST GODAVARI",15,1,7,175,1887,0,2085
"ANDHRA PRADESH","GUNTUR",1,1,0,750,11393,1,12146
"ANDHRA PRADESH","HYDERABAD",0,0,0,1,87,2,90
"ANDHRA PRADESH","KARIMNAGAR",15,113,78,7829,190528,2,198565
"ANDHRA PRADESH","KHAMMAM",0,865,23,1527,31701,249,34365
"ANDHRA PRADESH","KRISHNA",1,1,1,1361,14190,2,15556
"ANDHRA PRADESH","KURNOOL",137,157,4,2802,31619,10,34729
"ANDHRA PRADESH","MAHABOOB NAGAR",73,146,45,10695,90583,76,101618
"ANDHRA PRADESH","MEDAK",57,49,8,1183,64064,36,65397
"ANDHRA PRADESH","NALGONDA",0,1,2,7526,105137,1,112667
"ANDHRA PRADESH","NELLORE",448,159,25,10216,21478,2,32328
"ANDHRA PRADESH","NIZAMABAD",20,22,8,2792,29705,47,32594
"ANDHRA PRADESH","PRAKASAM",0,0,0,10010,18364,0,28374
"ANDHRA PRADESH","RANGA REDDY",0,7,0,3276,31249,3,34535
"ANDHRA PRADESH","SRIKAKULUM",3,12,0,2838,32226,0,35079
"ANDHRA PRADESH","VIJAYA NAGARAM",401,34,8,4543,30157,9,35152
"ANDHRA PRADESH","VISAKHAPATNAM",3,12,0,2212,23413,3,25643
"ANDHRA PRADESH","WARANGAL",897,232,106,4649,150413,263,156560
"ANDHRA PRADESH","WEST GODAVARI",10,4,0,724,14581,3,15322
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,0
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,0
"ASSAM","BARPETA",NA,NA,NA,NA,NA,NA,0
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA,NA,0
"ASSAM","CACHAR",NA,NA,NA,NA,NA,NA,0
"ASSAM","DARRANG",NA,NA,NA,NA,NA,NA,0
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA,NA,0
"ASSAM","DHUBRI",0,0,0,0,20,0,20
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA,NA,0
"ASSAM","GOALPARA",0,0,0,0,1,0,1
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA,NA,0
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA,NA,0
"ASSAM","JORHAT",NA,NA,NA,NA,NA,NA,0
"ASSAM","KAMRUP",NA,NA,NA,NA,NA,NA,0
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA,NA,0
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA,NA,0
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA,NA,0
"ASSAM","LAKHIMPUR",0,0,0,0,4,0,4
"ASSAM","MARIGAON",0,0,0,0,2,0,2
"ASSAM","NAGAON",NA,NA,NA,NA,NA,NA,0
"ASSAM","NALBARI",NA,NA,NA,NA,NA,NA,0
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA,NA,0
"ASSAM","SIBSAGAR",0,0,0,0,2,0,2
"ASSAM","SONITPUR",0,0,0,0,9,0,9
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA,NA,0
"BIHAR","ARARIA",2,0,0,0,3,0,5
"BIHAR","AURANGABAD",164,3,2,48,8835,4,9056
"BIHAR","BANKA",35,0,1,8,6660,1,6705
"BIHAR","BEGUSARAI",1,0,0,2,35,0,38
"BIHAR","BHABUA",494,12,9,70,6337,9,6931
"BIHAR","BHAGALPUR",13,0,0,1,4050,0,4064
"BIHAR","BHOJPUR",112,0,7,19,3624,0,3762
"BIHAR","BOKARO",8,0,0,0,7905,0,7913
"BIHAR","BUXAR",9,1,4,10,2088,1,2113
"BIHAR","CHAMPARAN EAST",0,0,0,0,30,0,30
"BIHAR","CHAMPARAN WEST",0,0,0,2,10,0,12
"BIHAR","CHATRA",18,0,0,4,12178,0,12200
"BIHAR","DARBHANGA",9,0,0,0,11,0,20
"BIHAR","DEOGHAR",1434,11,30,21,6907,42,8445
"BIHAR","DHANBAD",91,6,8,10,2473,1,2589
"BIHAR","DUMKA",129,12,17,8,29298,3,29467
"BIHAR","GARHWA",351,8,12,27,12962,4,13364
"BIHAR","GAYA",1530,23,76,83,17145,10,18867
"BIHAR","GIRIDIH",1816,167,157,401,19726,99,22366
"BIHAR","GODDA",1492,103,34,10,5649,17,7305
"BIHAR","GOPALGANJ",109,67,14,18,1892,1,2101
"BIHAR","GUMLA",1639,75,32,190,30163,247,32346
"BIHAR","HAZARIBAG",2068,55,315,66,29316,60,31880
"BIHAR","JAMUI",545,18,63,39,5104,78,5847
