-----
{
 "description": "The table refers to statewise irrigation potential utilised through shallow tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.14.csv", 
 "title": "Download CSV for Statewise Irrigation potential utilised through Shallow Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.14.csv"
}
-----
State,Kharif,Rabi,Perennial,Others,Total
ANDHRA PRADESH,313907,218410,71387,14274,617978
ARUNACHAL PRADESH,0,0,0,0,0
ASSAM,26423,14890,33,894,42240
BIHAR,672961,1057623,80881,67410,1878875
GOA,0,1,33,2,36
GUJARAT,NA,NA,NA,NA,NA
HARYANA,997149,997158,0,0,1994307
HIMACHAL PRADESH,2049,4205,65,27,6346
JAMMU & KASHMIR,1557,1493,0,0,3050
KARNATAKA,94494,42766,30350,11103,178713
KERALA,400,298,857,1293,2848
MADHYA PRADESH,39270,451889,2110,4277,497546
MAHARASHTRA,NA,NA,NA,NA,NA
MANIPUR,0,195,0,0,195
MEGHALAYA,59,16,4,0,79
MIZORAM,0,0,0,0,0
NAGALAND,9,6,0,0,15
ORISSA,17013,30747,6276,167,54203
PUNJAB,3055714,3094365,119717,65492,6335288
RAJASTHAN,3139,271110,548,287,275084
SIKKIM,0,0,0,0,0
TAMIL NADU,85399,50819,15736,7664,159618
TRIPURA,266,115,3,15,399
UTTAR PRADESH,3190443,4051540,1004591,405534,8652108
WEST BENGAL,410082,411361,26245,331978,1179666
ANDAMAN & NICOBARS,0,0,0,0,0
CHANDIGARH,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA
DELHI,18332,24411,67,4,42814
LAKSHADWEEP,NA,NA,NA,NA,NA
PONDICHERRY,3501,2538,1415,468,7922
All India,8932167,10725956,1360318,910889,21929330
