-----
{
 "description": "The table refers to statewise distribution of shallow tubewells according to ownership . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.2_1.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.2_1.csv"
}
-----
State,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,824,519,126,15644,299697,387,317197
ARUNACHAL PRADESH,0,0,0,0,0,0,0
ASSAM,2443,38,0,722,23867,2,27072
BIHAR,3849,562,549,488,583406,665,589519
GOA,0,1,0,6,21,0,28
GUJARAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,865,618,2811,260942,228388,670,494294
HIMACHAL PRADESH,276,1,1,66,1280,0,1624
JAMMU & KASHMIR,185,202,16,244,622,44,1313
KARNATAKA,95,53,10,560,78825,53,79596
KERALA,45,2,7,4,2300,6,2364
MADHYA PRADESH,806,116,136,5338,115048,60,121504
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,36,0,0,0,0,0,36
MEGHALAYA,1,0,0,2,107,0,110
MIZORAM,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,6,0,6
ORISSA,1583,15,12,131,16339,15,18095
PUNJAB,538,101,311,570,942618,71,944209
RAJASTHAN,139,67,12,32471,30366,44,63099
SIKKIM,0,0,0,0,0,0,0
TAMIL NADU,77,31,68,752,74727,666,76321
TRIPURA,8,19,1,1,107,0,136
UTTAR PRADESH,951,102,310,7777,1973360,66,1982566
WEST BENGAL,8146,2608,4395,9988,478469,1032,504638
ANDAMAN & NICOBARS,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA
DELHI,0,0,0,0,9020,0,9020
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,49,3,1,4,3826,12,3895
All India,20916,5058,8766,335710,4862399,3793,5236642
