-----
{
 "description": "The table refers to statewise shallow tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.8.csv", 
 "title": "Download CSV for Statewise Shallow Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.8.csv"
}
-----
State,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,4294,1447,248669,53285,9502,317197
ARUNACHAL PRADESH,0,0,0,0,0,0
ASSAM,7,24,26491,6,544,27072
BIHAR,3943,4428,557721,2948,20479,589519
GOA,1,1,14,10,2,28
GUJARAT,NA,NA,NA,NA,NA,NA
HARYANA,25503,3367,438055,22074,5295,494294
HIMACHAL PRADESH,10,34,1513,61,6,1624
JAMMU & KASHMIR,0,0,1313,0,0,1313
KARNATAKA,2995,906,46874,21146,7675,79596
KERALA,7,22,365,610,1360,2364
MADHYA PRADESH,7609,836,57391,46407,9261,121504
MAHARASHTRA,NA,NA,NA,NA,NA,NA
MANIPUR,0,0,36,0,0,36
MEGHALAYA,0,0,110,0,0,110
MIZORAM,0,0,0,0,0,0
NAGALAND,0,0,0,0,6,6
ORISSA,69,28,16588,355,1055,18095
PUNJAB,6338,7741,927408,2071,651,944209
RAJASTHAN,3189,844,51752,851,6463,63099
SIKKIM,0,0,0,0,0,0
TAMIL NADU,2996,1039,66996,1398,3892,76321
TRIPURA,3,1,130,2,0,136
UTTAR PRADESH,16544,25275,1898841,11341,30565,1982566
WEST BENGAL,7454,4306,481946,3622,7310,504638
ANDAMAN & NICOBARS,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA
DELHI,23,41,8670,284,2,9020
LAKSHADWEEP,NA,NA,NA,NA,NA,NA
PONDICHERRY,3,1489,2178,180,45,3895
All India,80988,51829,4833061,166651,104113,5236642
