-----
{
 "description": "The table refers to district wise surface flow schemes constructed over the years. It has been sourced from 2nd census of minor irrigation scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.1.csv", 
 "title": "Download CSV for Districtwise Distribution of surface flow schemes consutructed over the years for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.1.csv"
}
-----
State,District,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,ADILABAD,1248,31,12,7,2,5,5,29,1339
ANDHRA PRADESH,ANANTHAPUR,1983,75,86,38,49,136,78,247,2692
ANDHRA PRADESH,CHITTOOR,7447,18,10,5,13,10,20,14,7537
ANDHRA PRADESH,CUDDAPAH,1798,10,8,8,8,7,13,11,1863
ANDHRA PRADESH,EAST GODAVARI,1693,9,9,20,28,17,4,7,1787
ANDHRA PRADESH,GUNTUR,201,0,0,1,0,0,0,0,202
ANDHRA PRADESH,HYDERABAD,37,0,0,0,0,0,0,1,38
ANDHRA PRADESH,KARIMNAGAR,5214,14,15,1,1,1,2,0,5248
ANDHRA PRADESH,KHAMMAM,2487,43,28,29,64,26,32,4,2713
ANDHRA PRADESH,KRISHNA,1003,4,2,0,1,0,0,0,1010
ANDHRA PRADESH,KURNOOL,944,5,2,2,19,19,17,24,1032
ANDHRA PRADESH,MAHABOOB NAGAR,6873,34,93,16,13,23,53,69,7174
ANDHRA PRADESH,MEDAK,3740,350,45,2,1,0,0,18,4156
ANDHRA PRADESH,NALGONDA,4187,62,138,19,3,3,3,7,4422
ANDHRA PRADESH,NELLORE,1862,5,5,1,2,0,3,1,1879
ANDHRA PRADESH,NIZAMABAD,2179,7,3,7,5,4,5,0,2210
ANDHRA PRADESH,PRAKASAM,1023,5,15,3,15,4,0,38,1103
ANDHRA PRADESH,RANGA REDDY,1689,6,5,10,6,1,1,3,1721
ANDHRA PRADESH,SRIKAKULUM,8977,43,49,20,6,5,2,18,9120
ANDHRA PRADESH,VIJAYA NAGARAM,9591,18,18,15,10,15,13,9,9689
ANDHRA PRADESH,VISAKHAPATNAM,5600,67,104,31,30,28,25,9,5894
ANDHRA PRADESH,WARANGAL,5006,34,45,13,26,37,4,470,5635
ANDHRA PRADESH,WEST GODAVARI,1411,15,3,3,2,2,0,53,1489
ARUNACHAL PRADESH,CHANGLANG,120,16,16,15,16,18,13,24,238
ARUNACHAL PRADESH,DIBANG VALLEY,61,3,6,6,2,4,7,15,104
ARUNACHAL PRADESH,EAST KAMENG,15,0,7,15,12,5,19,12,85
ARUNACHAL PRADESH,EAST SIANG,519,104,74,55,45,35,30,31,893
ARUNACHAL PRADESH,LOHIT,31,3,12,3,5,6,5,1,66
ARUNACHAL PRADESH,LOWER SUBANSIRI,275,44,44,74,89,72,50,54,702
ARUNACHAL PRADESH,PAPUM PARE,49,23,19,15,8,8,8,17,147
ARUNACHAL PRADESH,TAWANG,30,2,2,3,16,6,7,5,71
ARUNACHAL PRADESH,TIRAP,27,8,11,6,15,8,15,18,108
ARUNACHAL PRADESH,UPPER SIANG,160,26,27,21,16,19,16,12,297
ARUNACHAL PRADESH,UPPER SUBANSIRI,226,70,39,56,56,52,41,41,581
ARUNACHAL PRADESH,WEST KAMENG,24,3,0,0,3,11,1,11,53
ARUNACHAL PRADESH,WEST SIANG,67,18,31,27,30,21,29,20,243
ASSAM,BARPETA,6,0,0,0,0,0,0,0,6
ASSAM,BONGAIGAON,5,0,0,1,0,0,0,0,6
ASSAM,CACHAR,0,0,0,1,0,2,0,4,7
ASSAM,DARRANG,167,3,0,1,1,5,8,32,217
ASSAM,DHEMAJI,0,0,0,0,0,0,5,3,8
ASSAM,DHUBRI,43,2,0,2,0,0,0,0,47
ASSAM,DIBRUGARH,1,0,0,0,0,0,0,0,1
ASSAM,GOALPARA,131,3,0,1,3,1,0,7,146
ASSAM,GOLAGHAT,3,0,0,0,0,0,0,0,3
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,JORHAT,1,0,0,1,0,2,0,0,4
ASSAM,KAMRUP,103,0,1,0,0,0,0,0,104
ASSAM,KARBI ANGLONG,861,19,14,1,1,63,70,247,1276
ASSAM,KARIMGANJ,1,0,0,0,0,0,0,0,1
ASSAM,KOKRAJHAR,22,0,0,0,0,2,0,0,24
ASSAM,LAKHIMPUR,1,0,0,0,1,0,0,0,2
ASSAM,MARIGAON,8,3,4,6,5,8,0,0,34
ASSAM,NAGAON,5,0,0,2,3,6,32,18,66
ASSAM,NALBARI,72,7,5,2,3,0,0,0,89
ASSAM,NORTH CACHAR HILLS,12,2,2,35,41,54,87,32,265
ASSAM,SIBSAGAR,4,0,0,0,0,0,0,0,4
ASSAM,SONITPUR,29,0,1,1,0,1,0,0,32
ASSAM,TINSUKIA,4,0,0,1,0,0,0,0,5
BIHAR,ARARIA,7,6,2,1,5,10,9,0,40
BIHAR,AURANGABAD,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BANKA,1780,57,51,13,16,17,18,21,1973
BIHAR,BEGUSARAI,2,0,0,0,0,0,0,0,2
BIHAR,BHABUA,300,2,7,7,13,20,16,32,397
BIHAR,BHAGALPUR,818,2,17,0,1,0,1,13,852
BIHAR,BHOJPUR,217,4,4,0,0,0,0,0,225
BIHAR,BOKARO,2224,32,14,70,32,1,1,8,2382
BIHAR,BUXAR,74,0,37,1,0,0,0,0,112
BIHAR,CHAMPARAN EAST,19,0,20,0,0,0,0,0,39
BIHAR,CHAMPARAN WEST,47,9,21,9,0,0,0,1,87
BIHAR,CHATRA,2023,36,18,35,31,48,29,49,2269
BIHAR,DARBHANGA,45,15,9,8,3,2,2,1,85
BIHAR,DEOGHAR,2219,20,19,16,26,22,85,27,2434
BIHAR,DHANBAD,795,12,3,9,7,13,10,13,862
BIHAR,DUMKA,2621,124,114,268,2270,1996,1143,448,8984
BIHAR,GARHWA,1894,103,137,144,88,83,101,157,2707
BIHAR,GAYA,8086,20,28,8,2,1,25,5,8175
BIHAR,GIRIDIH,2165,102,97,66,54,38,66,83,2671
BIHAR,GODDA,1324,79,61,131,27,27,27,7,1683
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,238,12,4,1,2,7,6,2,272
BIHAR,HAZARIBAG,431,12,9,6,4,0,2,1,465
BIHAR,JAMUI,1625,91,101,38,49,14,16,26,1960
BIHAR,JEHANABAD,502,2,0,15,0,0,0,4,523
BIHAR,KATIHAR,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,2,0,0,0,0,0,0,0,2
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KODARMA,278,12,7,4,1,2,2,7,313
BIHAR,LAKHISARAI,220,44,1,1,0,0,0,1,267
BIHAR,LOHARDAGA,94,66,5,2,0,15,5,3,190
BIHAR,MADHEPURA,3,0,0,0,0,0,0,0,3
