-----
{
 "description": "The table refers to district wise distribution of surface flow schemes in the major/medium project command. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.9.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.9.csv"
}
-----
State,District,Location of Schemes - On the command,Location of schemes - Outside command,Location of schemes - Augmentation,Total
ANDHRA PRADESH,ADILABAD,144,1195,0,1339
ANDHRA PRADESH,ANANTHAPUR,29,2661,2,2692
ANDHRA PRADESH,CHITTOOR,51,7468,18,7537
ANDHRA PRADESH,CUDDAPAH,14,1848,1,1863
ANDHRA PRADESH,EAST GODAVARI,46,1741,0,1787
ANDHRA PRADESH,GUNTUR,87,115,0,202
ANDHRA PRADESH,HYDERABAD,0,38,0,38
ANDHRA PRADESH,KARIMNAGAR,877,4366,5,5248
ANDHRA PRADESH,KHAMMAM,153,2559,1,2713
ANDHRA PRADESH,KRISHNA,125,883,2,1010
ANDHRA PRADESH,KURNOOL,15,1017,0,1032
ANDHRA PRADESH,MAHABOOB NAGAR,229,6941,4,7174
ANDHRA PRADESH,MEDAK,52,4079,25,4156
ANDHRA PRADESH,NALGONDA,444,3974,4,4422
ANDHRA PRADESH,NELLORE,165,1713,1,1879
ANDHRA PRADESH,NIZAMABAD,363,1845,2,2210
ANDHRA PRADESH,PRAKASAM,106,995,2,1103
ANDHRA PRADESH,RANGA REDDY,14,1707,0,1721
ANDHRA PRADESH,SRIKAKULUM,1176,7734,210,9120
ANDHRA PRADESH,VIJAYA NAGARAM,64,9622,3,9689
ANDHRA PRADESH,VISAKHAPATNAM,44,5835,15,5894
ANDHRA PRADESH,WARANGAL,14,5621,0,5635
ANDHRA PRADESH,WEST GODAVARI,14,1475,0,1489
ARUNACHAL PRADESH,CHANGLANG,2,236,0,238
ARUNACHAL PRADESH,DIBANG VALLEY,0,104,0,104
ARUNACHAL PRADESH,EAST KAMENG,0,85,0,85
ARUNACHAL PRADESH,EAST SIANG,10,882,1,893
ARUNACHAL PRADESH,LOHIT,0,66,0,66
