-----
{
 "description": "Data covers State-wise and year-wise Industrial Entrepreneurs Memorandum (IEM) implemented. The Industrial Undertakings are required to intimate the  commencement of commercial production by way of filing the prescribed Part B of the IEM Form.", 
 "file_name": "Statewise_IEMs_Part_B_from_1991_to_June_2013.xls", 
 "title": "Download XLS for Statewise IEMs Implemented by Industrial Undertakings during August 1991 to June 2013", 
 "url": "http://data.gov.in/sites/default/files/Statewise_IEMs_Part_B_from_1991_to_June_2013.xls"
}
-----
"Name of the State/UTs","IEMs Implemented during 1992-2006 (in Nos)","Investment during 1992-2006 (in Rs.Cr)","IEMs Implemented during 2007 
(in Nos)","Investment during 2007 (in Rs.Cr)    ","IEMs Implemented during 2008 
(in Nos)","Investment during 2008 
(in Rs.Cr)","IEMs Implemented during 2009 
(in Nos)","Investment during 2009 (in Rs.Cr)","IEMs Implemented during 2010 
(in Nos)","Investment during 2010 (in Rs.Cr)","IEMs Implemented during 2011 
(in Nos)","Investment during 2011 
(in Rs.Cr)","IEMs Implemented during 2012 
(in Nos)","Investment during 2012 
(in Rs.Cr)","IEMs Implemented during January 2013 to June 2013 (in Nos)","Investment during January 2013 to June 2013 
(in Rs.Cr)"
"Andaman & Nicobar",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Andhra Pradesh",509.0,14553.0,115.0,1184.0,107.0,2148.0,82.0,1899.0,86.0,2185.0,86.0,2439.0,87.0,8411.0,45.0,4434.0
"Arunachal Pradesh",3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0
"Assam",79.0,1284.0,11.0,58.0,3.0,0.0,10.0,225.0,9.0,0.0,13.0,63.0,14.0,290.0,9.0,608.0
"Bihar",7.0,65.0,2.0,41.0,3.0,62.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,471.0,6.0,833.0
"Chandigarh",4.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chhattisgarh",60.0,1295.0,3.0,11.0,2.0,315.0,6.0,756.0,10.0,749.0,0.0,0.0,0.0,0.0,1.0,31.0
"Dadra & Nagar Haveli",81.0,1336.0,5.0,159.0,6.0,117.0,9.0,93.0,7.0,62.0,6.0,294.0,3.0,42.0,0.0,0.0
"Daman & Diu",87.0,2270.0,2.0,8.0,4.0,44.0,3.0,25.0,13.0,79.0,1.0,0.0,1.0,0.0,1.0,3.0
"Delhi",46.0,635.0,1.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Goa",100.0,819.0,2.0,0.0,3.0,0.0,5.0,5.0,6.0,51.0,7.0,21.0,5.0,228.0,1.0,17.0
"Gujarat",1125.0,70588.0,223.0,7474.0,76.0,1334.0,76.0,2195.0,56.0,4565.0,50.0,2148.0,153.0,49616.0,28.0,3926.0
"Haryana",395.0,16856.0,11.0,38.0,15.0,64.0,21.0,163.0,13.0,282.0,7.0,394.0,18.0,1289.0,11.0,667.0
"Himachal Pradesh",54.0,1006.0,9.0,411.0,9.0,26.0,7.0,65.0,7.0,71.0,3.0,42.0,7.0,609.0,2.0,23.0
"Jammu &Kashmir",18.0,1363.0,3.0,335.0,0.0,0.0,3.0,645.0,3.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jharkhand",58.0,1946.0,6.0,111.0,2.0,4.0,0.0,0.0,2.0,0.0,5.0,424.0,3.0,406.0,0.0,0.0
"Karnataka",184.0,9009.0,10.0,126.0,8.0,750.0,31.0,524.0,19.0,1771.0,22.0,890.0,26.0,1672.0,14.0,3869.0
"Kerala",79.0,1017.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lakshadweep",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Madhya Pradesh",304.0,8645.0,20.0,528.0,19.0,353.0,30.0,904.0,12.0,11959.0,11.0,268.0,14.0,2157.0,5.0,1073.0
"Maharashtra",961.0,29106.0,72.0,1421.0,123.0,2448.0,289.0,3499.0,87.0,1291.0,120.0,4671.0,87.0,7509.0,54.0,20756.0
"Manipur",1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",17.0,58.0,4.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,3.0,401.0,2.0,83.0
"Mizoram",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0
"Nagaland",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orissa",52.0,1843.0,9.0,10.0,12.0,0.0,1.0,14.0,6.0,80.0,5.0,163.0,2.0,105.0,4.0,652.0
"Puducherry",43.0,314.0,4.0,11.0,2.0,6.0,2.0,28.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
"Punjab",284.0,6039.0,8.0,371.0,9.0,255.0,16.0,145.0,7.0,69.0,2.0,0.0,6.0,1042.0,1.0,38.0
"Rajasthan",375.0,12916.0,12.0,166.0,15.0,217.0,10.0,149.0,27.0,1592.0,14.0,158.0,18.0,2017.0,13.0,660.0
"Sikkim",2.0,15.0,4.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,6.0,142.0,3.0,244.0
"Tamil Nadu",438.0,9638.0,29.0,1561.0,24.0,1365.0,39.0,1267.0,27.0,1374.0,28.0,235.0,10.0,524.0,5.0,1522.0
"Tripura",5.0,72.0,0.0,0.0,0.0,0.0,1.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Uttar Pradesh",508.0,19441.0,36.0,3691.0,25.0,1802.0,18.0,733.0,24.0,244.0,20.0,82.0,23.0,1450.0,12.0,2715.0
"Uttarakhand",43.0,384.0,31.0,733.0,34.0,969.0,68.0,542.0,159.0,2079.0,31.0,197.0,52.0,2752.0,13.0,300.0
"West Bengal",475.0,28963.0,93.0,916.0,27.0,186.0,68.0,632.0,50.0,1163.0,33.0,325.0,25.0,962.0,18.0,1331.0
"Total",6397.0,241756.0,726.0,19390.0,541.0,12465.0,804.0,14691.0,636.0,29735.0,474.0,12870.0,574.0,82156.0,249.0,43785.0
