-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "TamilNaduNSDPconst.csv", 
 "title": "Download CSV for Tamil Nadu Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/TamilNaduNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1235363","1385378","1187658","1171816","1290418","1416092","1330859","1393387","1390748","1042294","1009413","1169674"
"Foresty and Logging","39372","40261","39376","39557","41150","42342","45164","41393","40975","43909","42358","41971"
"Fishing","49597","53485","52638","56185","49310","56551","50588","49684","51848","49525","47201","53384"
"Mining and Quarrying","30697","33087","31001","29286","31033","28681","31226","40765","41221","45973","57643","58188"
"Sub total of primary","1355029","1512211","1310673","1296844","1411911","1543666","1457837","1525229","1524792","1181701","1156615","1323217"
"Manufacturing","1306985","1480559","1659715","1609290","1580596","1456116","1603259","1748588","1540073","1620886","1566548","1657936"
"Registered","831365","912469","1064987","1018009","1005728","900508","958242","1033316","847451","868933","905517","955323"
"Unregistered","475620","568090","594728","591281","574868","555608","645017","715272","692622","751953","661031","702613"
"Construction","286403","323771","324452","344938","414832","467183","533945","524261","566695","595112","652675","663767"
"Electricity, Gas and water Supply","67545","92055","102013","117374","116522","134654","154911","207593","49786","171933","63584","70542"
"Sub total of secondary","1660933","1896385","2086180","2071602","2111950","2057953","2292115","2480442","2156554","2387931","2282807","2392245"
"Transport Storage and Communication","314709","356599","390281","419152","458960","490295","555022","635940","703003","775120","871735","982354"
"Railways","19197","20330","23916","24287","27940","28624","29181","31926","31715","28243","30813","30972"
"Transport by other means","212045","237648","246598","247746","267355","275629","289059","319989","315684","327281","325766","331269"
"Storage","5785","5694","5910","5932","6224","6256","6631","6794","6704","6339","6546","6756"
"Communication","77682","92927","113857","141187","157441","179786","230151","277231","348900","413257","508610","613357"
"Trade, hotels and restaurants","737749","894712","978843","1017688","1096876","1121435","1252251","1426397","1396304","1533395","1663266","1881288"
"Banking and Insurance","300833","334007","363510","508607","608332","585451","641706","602415","594210","665399","714991","727425"
"Real estate, ownership of dwelling and business","263486","269330","274754","279853","326888","356460","393476","449104","488405","531112","579844","635625"
"Pubic Administration","197438","186090","201489","224877","269109","331491","382858","399151","399653","379843","407586","424246"
"Other Services","334152","344983","380391","412947","498201","563766","493239","526577","529031","556877","595149","647387"
"Sub total of tertiary","2148367","2385721","2589268","2863124","3258366","3448898","3718552","4039584","4110606","4441746","4832571","4662700"
"State domestic product","5164329","5794317","5986121","6231570","6782227","7050517","7468504","8045255","7791952","8011378","8271993","9013787"

"Figures are in Rs. Lakh"
