-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "TamilNaduNSDPcurrent.csv", 
 "title": "Download CSV for Tamil Nadu Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/TamilNaduNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1235363","1371323","1325767","1456125","1691942","1953465","1788627","1938101","1942311","1524235","1569527","1870025"
"Foresty and Logging","39372","42148","35417","70916","85817","55964","81713","64402","57138","75680","67419","66306"
"Fishing","49597","65918","79250","109979","191673","211739","154142","165549","173648","167230","164266","195394"
"Mining and Quarrying","30697","32823","31967","31064","32411","35523","41403","62153","72929","90182","111536","119329"
"Sub total of primary","1355029","1512212","1472401","1668084","2001843","2256691","2065885","2230205","2246026","1857327","1912748","2251054"
"Manufacturing","1306985","1546829","1818215","1881149","1910868","2017687","2231859","2524528","2244066","2418159","2499326","2806263"
"Registered","831365","953437","1168047","1163822","1195892","1240321","1352514","1517072","1259210","1320543","1480223","1656946"
"Unregistered","475620","593392","650168","717327","714976","777366","879345","1007456","984856","1097616","1019103","1149317"
"Construction","286403","363644","419369","478842","606325","725613","856959","876233","1002210","1098152","1258573","1339438"
"Electricity, Gas and water Supply","67545","108562","129630","147395","163799","230705","228443","292553","55419","260785","95850","108285"
"Sub total of secondary","1660933","2019035","2367214","2507386","2680992","2974005","3317261","3693314","3301695","3777096","3853749","4253986"
"Transport Storage and Communication","314709","387125","443091","491682","594754","704446","780914","874455","964091","1040623","1136478","1206782"
"Railways","19197","19713","23858","24721","35936","47586","52068","41225","55108","59634","54136","57135"
"Transport by other means","212045","260988","290556","306486","380815","447885","509376","596705","625118","708827","739047","772581"
"Storage","5785","6283","7171","7799","8939","10165","10877","12033","12371","12231","13069","13963"
"Communication","77682","100141","121506","152676","169064","198810","208593","224492","271494","259931","330226","363103"
"Trade, hotels and restaurants","737749","946987","1117129","1259985","1431552","1612044","1806768","2161890","2203834","2540426","2918659","3448832"
"Banking and Insurance","300833","380402","525913","731274","885194","858028","990800","987791","1089000","1306006","1453142","1597422"
"Real estate, ownership of dwelling and business","263486","293133","324872","374526","484569","587668","712640","888306","1037448","1165652","1284072","1411703"
"Pubic Administration","197438","204848","244811","298747","382735","530560","634288","685185","715571","707150","787379","849851"
"Other Services","334152","383808","476562","580100","807232","1049327","946819","1075881","1128968","1324486","1544462","1698657"
"Sub total of tertiary","2148367","2596303","3132378","3736314","4586036","5342073","5872229","6673508","7138912","8084343","9124192","8801544"
"State domestic product","5164329","6127550","6971993","7911784","9268871","10572769","11255375","12597027","12686633","13718766","14890689","16718287"

"Figures are in Rs. Lakh"
